n=100, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 14.66 seconds
n=100, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 14.61 seconds
n=100, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 14.68 seconds
n=100, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 15.04 seconds
n=100, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.91 seconds
n=100, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.47 seconds
n=100, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 15.17 seconds
n=100, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 98.5%, Time: 15.28 seconds
n=100, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 97.0%, Time: 15.06 seconds
n=100, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 90.5%, Time: 15.30 seconds
n=100, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 89.5%, Time: 15.81 seconds
n=100, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 76.5%, Time: 16.38 seconds
n=100, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 63.0%, Time: 16.66 seconds
n=100, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 53.5%, Time: 17.01 seconds
n=100, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 33.0%, Time: 19.20 seconds
n=100, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 24.5%, Time: 18.73 seconds
n=100, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 15.5%, Time: 18.83 seconds
n=100, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 9.5%, Time: 20.03 seconds
n=100, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 6.0%, Time: 18.49 seconds
n=100, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 1.5%, Time: 18.77 seconds
n=250, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.13 seconds
n=250, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.62 seconds
n=250, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.31 seconds
n=250, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.50 seconds
n=250, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.88 seconds
n=250, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.86 seconds
n=250, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 17.20 seconds
n=250, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 18.20 seconds
n=250, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 93.0%, Time: 19.85 seconds
n=250, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 74.0%, Time: 22.40 seconds
n=250, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 49.0%, Time: 25.36 seconds
n=250, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 29.5%, Time: 26.68 seconds
n=250, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 16.0%, Time: 28.07 seconds
n=250, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 3.5000000000000004%, Time: 29.83 seconds
