c=20, Q=0.8, p=0, n=500, m/n=6.0, WalkSAT Success: 100.0%, Total Flips: 59732, Time: 18.77 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.1, WalkSAT Success: 100.0%, Total Flips: 60822, Time: 19.32 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.198, WalkSAT Success: 100.0%, Total Flips: 70574, Time: 23.88 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.298, WalkSAT Success: 100.0%, Total Flips: 84410, Time: 27.04 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.398, WalkSAT Success: 100.0%, Total Flips: 89506, Time: 27.29 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.498, WalkSAT Success: 98.0%, Total Flips: 146551, Time: 41.09 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.598, WalkSAT Success: 94.0%, Total Flips: 179200, Time: 50.39 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.698, WalkSAT Success: 89.0%, Total Flips: 223242, Time: 60.95 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.798, WalkSAT Success: 81.0%, Total Flips: 266037, Time: 71.44 seconds
c=20, Q=0.8, p=0, n=500, m/n=6.898, WalkSAT Success: 54.0%, Total Flips: 376533, Time: 101.17 seconds
c=20, Q=0.8, p=0, n=500, m/n=7.0, WalkSAT Success: 40.0%, Total Flips: 406988, Time: 116.21 seconds
c=20, Q=0.8, p=0, n=500, m/n=7.1, WalkSAT Success: 25.0%, Total Flips: 441723, Time: 125.72 seconds
c=20, Q=0.8, p=0, n=500, m/n=7.198, WalkSAT Success: 19.0%, Total Flips: 447787, Time: 130.01 seconds
c=20, Q=0.8, p=0, n=500, m/n=7.298, WalkSAT Success: 5.0%, Total Flips: 482485, Time: 142.45 seconds
c=20, Q=0.8, p=0, n=500, m/n=7.398, WalkSAT Success: 6.0%, Total Flips: 487847, Time: 147.20 seconds
c=20, Q=0.8, p=0, n=500, m/n=7.5, WalkSAT Success: 2.0%, Total Flips: 498420, Time: 145.24 seconds
c=20, Q=0.8, p=0, n=500, m/n=7.6, WalkSAT Success: 1.0%, Total Flips: 499428, Time: 144.97 seconds
c=20, Q=0.8, p=0, n=500, m/n=7.698, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 150.53 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.0, WalkSAT Success: 100.0%, Total Flips: 55238, Time: 17.10 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.1, WalkSAT Success: 100.0%, Total Flips: 61756, Time: 18.64 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.198, WalkSAT Success: 100.0%, Total Flips: 67542, Time: 20.38 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.298, WalkSAT Success: 100.0%, Total Flips: 75997, Time: 22.40 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.398, WalkSAT Success: 100.0%, Total Flips: 86875, Time: 25.21 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.498, WalkSAT Success: 100.0%, Total Flips: 140843, Time: 38.16 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.598, WalkSAT Success: 96.0%, Total Flips: 167892, Time: 45.29 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.698, WalkSAT Success: 89.0%, Total Flips: 226120, Time: 60.76 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.798, WalkSAT Success: 73.0%, Total Flips: 285648, Time: 76.93 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=6.898, WalkSAT Success: 54.0%, Total Flips: 352151, Time: 94.18 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=7.0, WalkSAT Success: 35.0%, Total Flips: 424231, Time: 116.89 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=7.1, WalkSAT Success: 23.0%, Total Flips: 435516, Time: 120.82 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=7.198, WalkSAT Success: 19.0%, Total Flips: 453026, Time: 127.63 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=7.298, WalkSAT Success: 8.0%, Total Flips: 480302, Time: 139.94 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=7.398, WalkSAT Success: 4.0%, Total Flips: 484983, Time: 140.93 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=7.5, WalkSAT Success: 4.0%, Total Flips: 491447, Time: 143.66 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=7.6, WalkSAT Success: 1.0%, Total Flips: 499410, Time: 147.03 seconds
c=20, Q=0.8, p=0.3, n=500, m/n=7.698, WalkSAT Success: 1.0%, Total Flips: 495998, Time: 149.05 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.0, WalkSAT Success: 100.0%, Total Flips: 53536, Time: 16.79 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.1, WalkSAT Success: 100.0%, Total Flips: 58434, Time: 17.68 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.198, WalkSAT Success: 100.0%, Total Flips: 63039, Time: 19.92 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.298, WalkSAT Success: 100.0%, Total Flips: 88054, Time: 25.76 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.398, WalkSAT Success: 100.0%, Total Flips: 90388, Time: 27.19 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.498, WalkSAT Success: 100.0%, Total Flips: 117247, Time: 33.84 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.598, WalkSAT Success: 95.0%, Total Flips: 168684, Time: 45.73 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.698, WalkSAT Success: 91.0%, Total Flips: 189525, Time: 52.14 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.798, WalkSAT Success: 73.0%, Total Flips: 297385, Time: 82.82 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=6.898, WalkSAT Success: 54.0%, Total Flips: 348190, Time: 93.72 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=7.0, WalkSAT Success: 49.0%, Total Flips: 380119, Time: 217.81 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=7.1, WalkSAT Success: 31.0%, Total Flips: 417804, Time: 171.75 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=7.198, WalkSAT Success: 11.0%, Total Flips: 479218, Time: 131.13 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=7.298, WalkSAT Success: 6.0%, Total Flips: 485368, Time: 134.05 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=7.398, WalkSAT Success: 5.0%, Total Flips: 487401, Time: 152.64 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=7.5, WalkSAT Success: 2.0%, Total Flips: 492982, Time: 143.23 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=7.6, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 145.83 seconds
c=20, Q=0.8, p=0.5, n=500, m/n=7.698, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 146.27 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.0, WalkSAT Success: 100.0%, Total Flips: 56947, Time: 17.18 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.1, WalkSAT Success: 100.0%, Total Flips: 60071, Time: 18.29 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.198, WalkSAT Success: 100.0%, Total Flips: 72840, Time: 21.26 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.298, WalkSAT Success: 100.0%, Total Flips: 77108, Time: 22.87 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.398, WalkSAT Success: 100.0%, Total Flips: 95851, Time: 27.61 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.498, WalkSAT Success: 100.0%, Total Flips: 134994, Time: 37.38 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.598, WalkSAT Success: 97.0%, Total Flips: 172644, Time: 47.07 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.698, WalkSAT Success: 90.0%, Total Flips: 206380, Time: 55.58 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.798, WalkSAT Success: 81.0%, Total Flips: 270514, Time: 72.60 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=6.898, WalkSAT Success: 67.0%, Total Flips: 317056, Time: 85.79 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.0, WalkSAT Success: 43.0%, Total Flips: 386249, Time: 109.11 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.1, WalkSAT Success: 27.0%, Total Flips: 434344, Time: 122.58 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.198, WalkSAT Success: 23.0%, Total Flips: 448786, Time: 127.35 seconds
c=20, Q=0.8, p=0.7, n=500, m/n=7.298, WalkSAT Success: 8.0%, Total Flips: 481250, Time: 141.40 seconds
