c=10, Q=0.8, p=0.7, n=500, m/n=6.0, WalkSAT Success: 100.0%, Total Flips: 61227, Time: 31.26 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.1, WalkSAT Success: 100.0%, Total Flips: 66396, Time: 32.98 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.198, WalkSAT Success: 100.0%, Total Flips: 81468, Time: 40.63 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.298, WalkSAT Success: 100.0%, Total Flips: 104853, Time: 51.08 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.398, WalkSAT Success: 99.0%, Total Flips: 129670, Time: 64.03 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.5, WalkSAT Success: 97.0%, Total Flips: 150733, Time: 43.04 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.6, WalkSAT Success: 89.0%, Total Flips: 220636, Time: 61.57 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.698, WalkSAT Success: 77.0%, Total Flips: 269472, Time: 72.64 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.798, WalkSAT Success: 52.0%, Total Flips: 358394, Time: 96.23 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.898, WalkSAT Success: 41.0%, Total Flips: 397910, Time: 106.12 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=6.998, WalkSAT Success: 36.0%, Total Flips: 395411, Time: 106.59 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=7.098, WalkSAT Success: 16.0%, Total Flips: 457107, Time: 124.48 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=7.198, WalkSAT Success: 8.0%, Total Flips: 482745, Time: 132.82 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=7.298, WalkSAT Success: 3.0%, Total Flips: 497420, Time: 138.75 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=7.398, WalkSAT Success: 2.0%, Total Flips: 498429, Time: 140.16 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=7.5, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 266.83 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=7.6, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 277.67 seconds
c=10, Q=0.8, p=0.7, n=500, m/n=7.698, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 272.93 seconds
