c=10, Q=0.8, p=0, n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 68786, Time: 21.88 seconds
c=10, Q=0.8, p=0, n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 71353, Time: 22.84 seconds
c=10, Q=0.8, p=0, n=1000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 72300, Time: 24.13 seconds
c=10, Q=0.8, p=0, n=1000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 73145, Time: 24.39 seconds
c=10, Q=0.8, p=0, n=1000, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 74762, Time: 25.13 seconds
c=10, Q=0.8, p=0, n=1000, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 75991, Time: 26.22 seconds
c=10, Q=0.8, p=0, n=1000, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 77837, Time: 27.18 seconds
c=10, Q=0.8, p=0, n=1000, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 78679, Time: 27.65 seconds
c=10, Q=0.8, p=0, n=1000, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 80395, Time: 28.96 seconds
c=10, Q=0.8, p=0, n=1000, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 81816, Time: 30.10 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 70534, Time: 22.02 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 70705, Time: 22.91 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 72045, Time: 23.57 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 73917, Time: 24.50 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 74726, Time: 25.11 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 76462, Time: 26.45 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 77960, Time: 28.39 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 78897, Time: 29.36 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 80053, Time: 30.45 seconds
c=10, Q=0.8, p=0.1, n=1000, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 81858, Time: 31.21 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 69318, Time: 23.09 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 70667, Time: 23.69 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 72078, Time: 24.52 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 74371, Time: 25.78 seconds
c=10, Q=0.8, p=0.2, n=1000, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 74920, Time: 25.76 seconds
