n=1000, m/n=1.5, GSAT Success: 5.0%, Total Flips: 118879, Time: 80.37 seconds
n=1000, m/n=1.6, GSAT Success: 2.0%, Total Flips: 122537, Time: 85.05 seconds
n=1000, m/n=1.7, GSAT Success: 4.0%, Total Flips: 120049, Time: 87.34 seconds
n=1000, m/n=1.8, GSAT Success: 1.0%, Total Flips: 123770, Time: 93.42 seconds
n=1000, m/n=1.9, GSAT Success: 1.0%, Total Flips: 123770, Time: 91.92 seconds
n=1000, m/n=2.0, GSAT Success: 3.0%, Total Flips: 121315, Time: 96.30 seconds
n=1000, m/n=2.1, GSAT Success: 3.0%, Total Flips: 121362, Time: 107.67 seconds
n=1000, m/n=2.2, GSAT Success: 0.0%, Total Flips: 125000, Time: 107.38 seconds
n=1000, m/n=2.3, GSAT Success: 1.0%, Total Flips: 123777, Time: 112.03 seconds
n=1000, m/n=2.4, GSAT Success: 0.0%, Total Flips: 125000, Time: 114.13 seconds
n=1000, m/n=2.5, GSAT Success: 1.0%, Total Flips: 123770, Time: 114.04 seconds
n=1000, m/n=2.6, GSAT Success: 2.0%, Total Flips: 122560, Time: 116.50 seconds
n=1000, m/n=2.7, GSAT Success: 0.0%, Total Flips: 125000, Time: 120.79 seconds
n=1000, m/n=2.8, GSAT Success: 0.0%, Total Flips: 125000, Time: 137.66 seconds
n=1000, m/n=2.9, GSAT Success: 3.0%, Total Flips: 121297, Time: 137.35 seconds
n=1000, m/n=3.0, GSAT Success: 0.0%, Total Flips: 125000, Time: 142.27 seconds
n=1000, m/n=3.1, GSAT Success: 0.0%, Total Flips: 125000, Time: 153.90 seconds
n=1000, m/n=3.2, GSAT Success: 0.0%, Total Flips: 125000, Time: 151.72 seconds
n=1000, m/n=3.3, GSAT Success: 0.0%, Total Flips: 125000, Time: 154.26 seconds
n=1000, m/n=3.4, GSAT Success: 0.0%, Total Flips: 125000, Time: 158.02 seconds
n=1000, m/n=3.5, GSAT Success: 1.0%, Total Flips: 123756, Time: 158.47 seconds
n=1000, m/n=3.6, GSAT Success: 0.0%, Total Flips: 125000, Time: 164.51 seconds
n=1000, m/n=3.7, GSAT Success: 0.0%, Total Flips: 125000, Time: 167.87 seconds
n=1000, m/n=3.8, GSAT Success: 0.0%, Total Flips: 125000, Time: 172.12 seconds
n=1000, m/n=3.9, GSAT Success: 0.0%, Total Flips: 125000, Time: 174.47 seconds
n=1000, m/n=4.0, GSAT Success: 0.0%, Total Flips: 125000, Time: 176.76 seconds
n=1000, m/n=4.1, GSAT Success: 0.0%, Total Flips: 125000, Time: 186.80 seconds
n=1000, m/n=4.2, GSAT Success: 0.0%, Total Flips: 125000, Time: 182.74 seconds
n=1000, m/n=4.3, GSAT Success: 1.0%, Total Flips: 123760, Time: 200.23 seconds
n=1000, m/n=4.4, GSAT Success: 1.0%, Total Flips: 123765, Time: 243.99 seconds
n=1000, m/n=4.5, GSAT Success: 0.0%, Total Flips: 125000, Time: 205.65 seconds
n=1000, m/n=4.6, GSAT Success: 0.0%, Total Flips: 125000, Time: 197.54 seconds
n=1000, m/n=4.7, GSAT Success: 0.0%, Total Flips: 125000, Time: 193.58 seconds
n=1000, m/n=4.8, GSAT Success: 1.0%, Total Flips: 123775, Time: 196.66 seconds
n=1000, m/n=4.9, GSAT Success: 0.0%, Total Flips: 125000, Time: 315.04 seconds
n=1000, m/n=5.0, GSAT Success: 0.0%, Total Flips: 125000, Time: 263.14 seconds
n=1000, m/n=5.1, GSAT Success: 0.0%, Total Flips: 125000, Time: 210.67 seconds
n=1000, m/n=5.2, GSAT Success: 1.0%, Total Flips: 123760, Time: 210.22 seconds
n=1000, m/n=5.3, GSAT Success: 0.0%, Total Flips: 125000, Time: 219.82 seconds
n=1000, m/n=5.4, GSAT Success: 0.0%, Total Flips: 125000, Time: 309.13 seconds
