p=0, n=500, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 29776, Time: 5.14 seconds
p=0, n=500, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 32407, Time: 5.50 seconds
p=0, n=500, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 34434, Time: 5.99 seconds
p=0, n=500, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 37096, Time: 6.38 seconds
p=0, n=500, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 40468, Time: 6.91 seconds
p=0, n=500, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 46105, Time: 7.95 seconds
p=0, n=500, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 54630, Time: 8.99 seconds
p=0, n=500, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 70603, Time: 11.40 seconds
p=0, n=500, m/n=4.3, WalkSAT Success: 99.0%, Total Flips: 107992, Time: 16.97 seconds
p=0, n=500, m/n=4.4, WalkSAT Success: 91.0%, Total Flips: 2170, Time: 31.37 seconds
p=0, n=500, m/n=4.5, WalkSAT Success: 66.0%, Total Flips: 323640, Time: 85.79 seconds
p=0, n=500, m/n=4.6, WalkSAT Success: 32.0%, Total Flips: 425159, Time: 111.90 seconds
p=0, n=500, m/n=4.7, WalkSAT Success: 13.0%, Total Flips: 469388, Time: 124.97 seconds
p=0, n=500, m/n=4.8, WalkSAT Success: 5.0%, Total Flips: 490118, Time: 132.70 seconds
p=0, n=500, m/n=4.9, WalkSAT Success: 1.0%, Total Flips: 498712, Time: 137.42 seconds
p=0, n=500, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 148.20 seconds
p=0, n=500, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 148.09 seconds
p=0, n=500, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 152.64 seconds
p=0, n=500, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 153.76 seconds
p=0, n=500, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 500000, Time: 156.60 seconds
p=0.3, n=500, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 35325, Time: 5.93 seconds
p=0.3, n=500, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 39458, Time: 6.42 seconds
p=0.3, n=500, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 44790, Time: 7.23 seconds
p=0.3, n=500, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 55423, Time: 8.81 seconds
p=0.3, n=500, m/n=3.9, WalkSAT Success: 99.0%, Total Flips: 71273, Time: 10.69 seconds
p=0.3, n=500, m/n=4.0, WalkSAT Success: 99.0%, Total Flips: 126956, Time: 18.36 seconds
p=0.3, n=500, m/n=4.1, WalkSAT Success: 94.0%, Total Flips: 181138, Time: 26.10 seconds
p=0.3, n=500, m/n=4.2, WalkSAT Success: 66.0%, Total Flips: 307231, Time: 42.54 seconds
