n=1000, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 33.65 seconds
n=1000, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 96.5%, Time: 43.63 seconds
n=1000, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 68.5%, Time: 75.07 seconds
n=1000, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 23.0%, Time: 107.67 seconds
n=1000, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 4.5%, Time: 120.41 seconds
n=1000, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 127.40 seconds
n=1000, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 1.0%, Time: 133.88 seconds
n=1000, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 138.88 seconds
n=1000, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 143.56 seconds
n=1000, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 149.59 seconds
n=1000, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 154.81 seconds
n=1000, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 161.61 seconds
n=1000, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 178.41 seconds
n=1000, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 190.93 seconds
n=1000, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 192.36 seconds
n=1000, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 180.32 seconds
n=1000, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 185.56 seconds
n=1000, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 199.28 seconds
n=1000, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 223.25 seconds
n=1000, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 213.54 seconds
n=1000, m/n=3.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 208.78 seconds
n=1000, m/n=3.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 233.24 seconds
n=1000, m/n=3.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 232.51 seconds
n=1000, m/n=3.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 232.20 seconds
n=1000, m/n=3.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 235.87 seconds
