Resultados ordenados - 2025-06-13 18:14:56
================================================================================

#################### n = 50 ####################
    n=50, m/n=1.5, Success Rate: 100.0%, Total Flips: 1172, Time: 2.68 seconds
    n=50, m/n=1.6, Success Rate: 100.0%, Total Flips: 1326, Time: 2.78 seconds
    n=50, m/n=1.7, Success Rate: 100.0%, Total Flips: 1713, Time: 2.98 seconds
    n=50, m/n=1.8, Success Rate: 100.0%, Total Flips: 2174, Time: 3.06 seconds
    n=50, m/n=1.9, Success Rate: 100.0%, Total Flips: 2338, Time: 3.13 seconds
    n=50, m/n=2.0, Success Rate: 100.0%, Total Flips: 2982, Time: 3.46 seconds
    n=50, m/n=2.1, Success Rate: 100.0%, Total Flips: 3295, Time: 3.52 seconds
    n=50, m/n=2.2, Success Rate: 100.0%, Total Flips: 4448, Time: 3.94 seconds
    n=50, m/n=2.3, Success Rate: 100.0%, Total Flips: 5524, Time: 4.15 seconds
    n=50, m/n=2.4, Success Rate: 100.0%, Total Flips: 5516, Time: 4.33 seconds
    n=50, m/n=2.5, Success Rate: 99.0%, Total Flips: 9059, Time: 5.99 seconds
    n=50, m/n=2.6, Success Rate: 99.0%, Total Flips: 13300, Time: 7.82 seconds
    n=50, m/n=2.7, Success Rate: 97.0%, Total Flips: 18871, Time: 8.29 seconds
    n=50, m/n=2.8, Success Rate: 95.0%, Total Flips: 25323, Time: 9.71 seconds
    n=50, m/n=2.9, Success Rate: 98.0%, Total Flips: 22924, Time: 10.70 seconds
    n=50, m/n=3.0, Success Rate: 88.0%, Total Flips: 50438, Time: 13.78 seconds
    n=50, m/n=3.1, Success Rate: 89.0%, Total Flips: 46203, Time: 13.34 seconds
    n=50, m/n=3.2, Success Rate: 83.0%, Total Flips: 62365, Time: 15.96 seconds
    n=50, m/n=3.3, Success Rate: 59.0%, Total Flips: 116944, Time: 19.65 seconds
    n=50, m/n=3.4, Success Rate: 56.0%, Total Flips: 126349, Time: 21.45 seconds
    n=50, m/n=3.5, Success Rate: 60.0%, Total Flips: 115953, Time: 25.94 seconds
