Resultados ordenados - 2025-06-18 11:38:29
================================================================================

#################### n = 50 ####################

#################### Max Tries = 5 ####################

#################### Max Flips = 50 ####################
    n=50, m/n=1.5, max_tries=5, max_flips=50, Success Rate: 100.0%, Total Flips: 1123, Time: 2.41 seconds
    n=50, m/n=1.6, max_tries=5, max_flips=50, Success Rate: 99.0%, Total Flips: 1623, Time: 2.55 seconds
    n=50, m/n=1.7, max_tries=5, max_flips=50, Success Rate: 97.0%, Total Flips: 2175, Time: 2.61 seconds
    n=50, m/n=1.8, max_tries=5, max_flips=50, Success Rate: 95.0%, Total Flips: 3161, Time: 2.84 seconds
    n=50, m/n=1.9, max_tries=5, max_flips=50, Success Rate: 89.0%, Total Flips: 4443, Time: 2.87 seconds
    n=50, m/n=2.0, max_tries=5, max_flips=50, Success Rate: 85.0%, Total Flips: 5673, Time: 3.01 seconds
    n=50, m/n=2.1, max_tries=5, max_flips=50, Success Rate: 86.0%, Total Flips: 5719, Time: 3.13 seconds
    n=50, m/n=2.2, max_tries=5, max_flips=50, Success Rate: 84.0%, Total Flips: 5956, Time: 3.15 seconds
    n=50, m/n=2.3, max_tries=5, max_flips=50, Success Rate: 71.0%, Total Flips: 9348, Time: 5.95 seconds
    n=50, m/n=2.4, max_tries=5, max_flips=50, Success Rate: 69.0%, Total Flips: 9899, Time: 3.68 seconds
    n=50, m/n=2.5, max_tries=5, max_flips=50, Success Rate: 55.0%, Total Flips: 12834, Time: 4.29 seconds
    n=50, m/n=2.6, max_tries=5, max_flips=50, Success Rate: 52.0%, Total Flips: 13616, Time: 4.13 seconds
    n=50, m/n=2.7, max_tries=5, max_flips=50, Success Rate: 42.0%, Total Flips: 16227, Time: 4.63 seconds
    n=50, m/n=2.8, max_tries=5, max_flips=50, Success Rate: 36.0%, Total Flips: 17380, Time: 4.66 seconds
    n=50, m/n=2.9, max_tries=5, max_flips=50, Success Rate: 38.0%, Total Flips: 17004, Time: 4.70 seconds
    n=50, m/n=3.0, max_tries=5, max_flips=50, Success Rate: 27.0%, Total Flips: 19133, Time: 4.87 seconds
    n=50, m/n=3.1, max_tries=5, max_flips=50, Success Rate: 21.0%, Total Flips: 20518, Time: 4.86 seconds
    n=50, m/n=3.2, max_tries=5, max_flips=50, Success Rate: 17.0%, Total Flips: 21450, Time: 5.22 seconds
    n=50, m/n=3.3, max_tries=5, max_flips=50, Success Rate: 16.0%, Total Flips: 21671, Time: 5.15 seconds
    n=50, m/n=3.4, max_tries=5, max_flips=50, Success Rate: 7.0%, Total Flips: 23542, Time: 5.58 seconds
    n=50, m/n=3.5, max_tries=5, max_flips=50, Success Rate: 5.0%, Total Flips: 24030, Time: 5.75 seconds
    n=50, m/n=3.6, max_tries=5, max_flips=50, Success Rate: 4.0%, Total Flips: 24221, Time: 5.81 seconds
    n=50, m/n=3.7, max_tries=5, max_flips=50, Success Rate: 3.0%, Total Flips: 24321, Time: 5.89 seconds
    n=50, m/n=3.8, max_tries=5, max_flips=50, Success Rate: 6.0%, Total Flips: 23871, Time: 5.96 seconds
    n=50, m/n=3.9, max_tries=5, max_flips=50, Success Rate: 2.0%, Total Flips: 24690, Time: 6.09 seconds
    n=50, m/n=4.0, max_tries=5, max_flips=50, Success Rate: 2.0%, Total Flips: 24608, Time: 6.10 seconds
    n=50, m/n=4.1, max_tries=5, max_flips=50, Success Rate: 3.0%, Total Flips: 24415, Time: 6.17 seconds
    n=50, m/n=4.2, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 6.27 seconds
    n=50, m/n=4.3, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 6.32 seconds
    n=50, m/n=4.4, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 6.44 seconds
    n=50, m/n=4.5, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=4.6, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=4.7, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=4.8, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=4.9, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=5.0, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=5.1, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=5.2, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=5.3, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds
    n=50, m/n=5.4, max_tries=5, max_flips=50, Success Rate: 0.0%, Total Flips: 25000, Time: 0.00 seconds

#################### Max Flips = 250 ####################
    n=50, m/n=1.5, max_tries=5, max_flips=250, Success Rate: 99.0%, Total Flips: 2469, Time: 3.36 seconds
    n=50, m/n=1.6, max_tries=5, max_flips=250, Success Rate: 98.0%, Total Flips: 3885, Time: 3.82 seconds
    n=50, m/n=1.7, max_tries=5, max_flips=250, Success Rate: 99.0%, Total Flips: 2615, Time: 3.50 seconds
    n=50, m/n=1.8, max_tries=5, max_flips=250, Success Rate: 98.0%, Total Flips: 4045, Time: 3.95 seconds
    n=50, m/n=1.9, max_tries=5, max_flips=250, Success Rate: 95.0%, Total Flips: 8137, Time: 4.81 seconds
    n=50, m/n=2.0, max_tries=5, max_flips=250, Success Rate: 92.0%, Total Flips: 11849, Time: 4.91 seconds
    n=50, m/n=2.1, max_tries=5, max_flips=250, Success Rate: 87.0%, Total Flips: 18222, Time: 6.04 seconds
    n=50, m/n=2.2, max_tries=5, max_flips=250, Success Rate: 77.0%, Total Flips: 30635, Time: 7.31 seconds
    n=50, m/n=2.3, max_tries=5, max_flips=250, Success Rate: 68.0%, Total Flips: 41845, Time: 8.55 seconds
    n=50, m/n=2.4, max_tries=5, max_flips=250, Success Rate: 73.0%, Total Flips: 35750, Time: 7.68 seconds
    n=50, m/n=2.5, max_tries=5, max_flips=250, Success Rate: 62.0%, Total Flips: 49283, Time: 10.38 seconds
    n=50, m/n=2.6, max_tries=5, max_flips=250, Success Rate: 49.0%, Total Flips: 65454, Time: 12.42 seconds
    n=50, m/n=2.7, max_tries=5, max_flips=250, Success Rate: 49.0%, Total Flips: 65536, Time: 12.85 seconds
    n=50, m/n=2.8, max_tries=5, max_flips=250, Success Rate: 45.0%, Total Flips: 70330, Time: 12.92 seconds
    n=50, m/n=2.9, max_tries=5, max_flips=250, Success Rate: 30.0%, Total Flips: 88602, Time: 14.60 seconds
    n=50, m/n=3.0, max_tries=5, max_flips=250, Success Rate: 36.0%, Total Flips: 81417, Time: 14.49 seconds
    n=50, m/n=3.1, max_tries=5, max_flips=250, Success Rate: 19.0%, Total Flips: 101992, Time: 15.62 seconds
    n=50, m/n=3.2, max_tries=5, max_flips=250, Success Rate: 21.0%, Total Flips: 99415, Time: 15.40 seconds
    n=50, m/n=3.3, max_tries=5, max_flips=250, Success Rate: 14.0%, Total Flips: 108246, Time: 16.63 seconds
    n=50, m/n=3.4, max_tries=5, max_flips=250, Success Rate: 22.0%, Total Flips: 98660, Time: 16.63 seconds
    n=50, m/n=3.5, max_tries=5, max_flips=250, Success Rate: 10.0%, Total Flips: 113042, Time: 17.79 seconds
    n=50, m/n=3.6, max_tries=5, max_flips=250, Success Rate: 10.0%, Total Flips: 113000, Time: 18.05 seconds
    n=50, m/n=3.7, max_tries=5, max_flips=250, Success Rate: 3.0%, Total Flips: 121372, Time: 18.18 seconds
    n=50, m/n=3.8, max_tries=5, max_flips=250, Success Rate: 5.0%, Total Flips: 118995, Time: 18.51 seconds
    n=50, m/n=3.9, max_tries=5, max_flips=250, Success Rate: 2.0%, Total Flips: 122604, Time: 19.18 seconds
    n=50, m/n=4.0, max_tries=5, max_flips=250, Success Rate: 2.0%, Total Flips: 122572, Time: 19.17 seconds
    n=50, m/n=4.1, max_tries=5, max_flips=250, Success Rate: 1.0%, Total Flips: 123814, Time: 19.43 seconds
    n=50, m/n=4.2, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 19.84 seconds
    n=50, m/n=4.3, max_tries=5, max_flips=250, Success Rate: 1.0%, Total Flips: 123826, Time: 20.44 seconds
    n=50, m/n=4.4, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 20.62 seconds
    n=50, m/n=4.5, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 21.52 seconds
    n=50, m/n=4.6, max_tries=5, max_flips=250, Success Rate: 1.0%, Total Flips: 123814, Time: 21.97 seconds
    n=50, m/n=4.7, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 21.98 seconds
    n=50, m/n=4.8, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 22.37 seconds
    n=50, m/n=4.9, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 22.31 seconds
    n=50, m/n=5.0, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 22.66 seconds
    n=50, m/n=5.1, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 23.22 seconds
    n=50, m/n=5.2, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 23.38 seconds
    n=50, m/n=5.3, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 23.61 seconds
    n=50, m/n=5.4, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 24.38 seconds

#################### Max Flips = 1000 ####################
    n=50, m/n=1.5, max_tries=5, max_flips=1000, Success Rate: 96.0%, Total Flips: 21302, Time: 7.88 seconds
    n=50, m/n=1.6, max_tries=5, max_flips=1000, Success Rate: 99.0%, Total Flips: 6392, Time: 8.03 seconds
    n=50, m/n=1.7, max_tries=5, max_flips=1000, Success Rate: 93.0%, Total Flips: 36596, Time: 10.87 seconds
    n=50, m/n=1.8, max_tries=5, max_flips=1000, Success Rate: 97.0%, Total Flips: 16772, Time: 10.62 seconds
    n=50, m/n=1.9, max_tries=5, max_flips=1000, Success Rate: 93.0%, Total Flips: 36667, Time: 11.67 seconds
    n=50, m/n=2.0, max_tries=5, max_flips=1000, Success Rate: 92.0%, Total Flips: 42020, Time: 13.22 seconds
    n=50, m/n=2.1, max_tries=5, max_flips=1000, Success Rate: 81.0%, Total Flips: 96732, Time: 16.65 seconds
