Resultados ordenados - 2025-05-14 23:17:37
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.8, p=0.5, n=50, m/n=2.5, WalkSAT Success: 90.0%, Total Flips: 16802, Time: 5.22 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.6, WalkSAT Success: 92.0%, Total Flips: 15130, Time: 5.11 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.7, WalkSAT Success: 90.0%, Total Flips: 17321, Time: 5.22 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.8, WalkSAT Success: 86.0%, Total Flips: 23886, Time: 5.47 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.9, WalkSAT Success: 83.0%, Total Flips: 28216, Time: 5.47 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.0, WalkSAT Success: 83.0%, Total Flips: 28345, Time: 5.50 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.1, WalkSAT Success: 78.0%, Total Flips: 36245, Time: 6.14 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.2, WalkSAT Success: 77.0%, Total Flips: 39073, Time: 6.44 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.3, WalkSAT Success: 68.0%, Total Flips: 51589, Time: 6.74 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.4, WalkSAT Success: 65.0%, Total Flips: 56398, Time: 7.11 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.5, WalkSAT Success: 50.0%, Total Flips: 78051, Time: 9.30 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.6, WalkSAT Success: 42.0%, Total Flips: 89562, Time: 9.91 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.7, WalkSAT Success: 38.0%, Total Flips: 96346, Time: 9.90 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.8, WalkSAT Success: 46.0%, Total Flips: 85401, Time: 9.44 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=3.9, WalkSAT Success: 29.0%, Total Flips: 108372, Time: 14.49 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.0, WalkSAT Success: 21.0%, Total Flips: 119900, Time: 15.62 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.1, WalkSAT Success: 26.0%, Total Flips: 113327, Time: 12.65 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.2, WalkSAT Success: 24.0%, Total Flips: 115811, Time: 13.02 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.3, WalkSAT Success: 17.0%, Total Flips: 125843, Time: 12.25 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.4, WalkSAT Success: 14.0%, Total Flips: 130622, Time: 12.92 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.5, WalkSAT Success: 7.0%, Total Flips: 140005, Time: 13.56 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.6, WalkSAT Success: 5.0%, Total Flips: 142751, Time: 13.98 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.7, WalkSAT Success: 5.0%, Total Flips: 142889, Time: 14.33 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.8, WalkSAT Success: 4.0%, Total Flips: 144369, Time: 14.55 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.9, WalkSAT Success: 3.0%, Total Flips: 145766, Time: 15.26 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.0, WalkSAT Success: 1.0%, Total Flips: 148549, Time: 15.74 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.1, WalkSAT Success: 2.0%, Total Flips: 147126, Time: 15.72 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.2, WalkSAT Success: 2.0%, Total Flips: 147566, Time: 16.22 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.3, WalkSAT Success: 1.0%, Total Flips: 148623, Time: 15.49 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 15.84 seconds

Resultados para n = 100:
----------------------------------------
c=10, Q=0.8, p=0.5, n=100, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 4792, Time: 4.73 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 6412, Time: 4.82 seconds
