Resultados ordenados - 2025-06-04 23:35:14
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.2, p=0.5, n=50, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 2050, Time: 3.76 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.5, WalkSAT Success: 99.0%, Total Flips: 3859, Time: 4.83 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.5, WalkSAT Success: 92.0%, Total Flips: 13563, Time: 6.27 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 2804, Time: 3.90 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.6, WalkSAT Success: 99.0%, Total Flips: 3892, Time: 4.70 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.6, WalkSAT Success: 93.0%, Total Flips: 12360, Time: 6.46 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 3408, Time: 3.80 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.7, WalkSAT Success: 99.0%, Total Flips: 4417, Time: 4.73 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.7, WalkSAT Success: 90.0%, Total Flips: 17345, Time: 6.35 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 3333, Time: 3.82 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 3424, Time: 4.70 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=2.8, WalkSAT Success: 90.0%, Total Flips: 17636, Time: 6.50 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=2.9, WalkSAT Success: 100.0%, Total Flips: 3977, Time: 3.83 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.9, WalkSAT Success: 99.0%, Total Flips: 5406, Time: 4.93 seconds
