Resultados ordenados - 2025-06-06 09:59:25
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.5, p=0.5, n=50, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 2001, Time: 3.58 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 2432, Time: 3.61 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 3465, Time: 3.64 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.8, WalkSAT Success: 99.0%, Total Flips: 4841, Time: 3.70 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.9, WalkSAT Success: 98.0%, Total Flips: 7509, Time: 3.81 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.0, WalkSAT Success: 98.0%, Total Flips: 7240, Time: 3.71 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.1, WalkSAT Success: 96.0%, Total Flips: 12851, Time: 3.82 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.2, WalkSAT Success: 94.0%, Total Flips: 15789, Time: 4.01 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.3, WalkSAT Success: 96.0%, Total Flips: 12271, Time: 4.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.4, WalkSAT Success: 95.0%, Total Flips: 17317, Time: 4.06 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.5, WalkSAT Success: 88.0%, Total Flips: 25761, Time: 6.75 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.6, WalkSAT Success: 82.0%, Total Flips: 37152, Time: 6.94 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.7, WalkSAT Success: 87.0%, Total Flips: 31577, Time: 6.68 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.8, WalkSAT Success: 70.0%, Total Flips: 54980, Time: 7.37 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.9, WalkSAT Success: 72.0%, Total Flips: 51746, Time: 7.27 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.0, WalkSAT Success: 50.0%, Total Flips: 82557, Time: 8.63 seconds
