c Modularity-based k-CNF Generator (V2.0). J. Giraldez-Cru and J. Levy
c   value n = 100
c   value m = 210
c   value k = 3
c   value Q = 0.8
c   value c = 30
c   value seed = 0
p cnf 100 210
-32 33 -31 0
69 68 67 0
-5 4 6 0
95 96 94 0
-58 -60 57 0
46 -45 44 0
-32 31 33 0
33 31 -32 0
-21 22 -23 0
43 -41 -42 0
10 -7 9 0
60 -58 57 0
13 11 -12 0
-66 65 64 0
6 5 -4 0
-92 -91 93 0
15 14 16 0
-54 89 46 0
25 24 26 0
16 -14 15 0
-82 2 -66 0
-76 -74 75 0
-94 95 -96 0
-73 -71 -72 0
-80 -79 -78 0
-34 36 -35 0
-60 -58 57 0
46 71 -56 0
44 -46 -45 0
-78 -80 79 0
-6 15 55 0
13 12 -11 0
51 -53 52 0
-3 52 68 0
-38 -40 -39 0
-67 -69 -68 0
-85 86 -84 0
-29 27 30 0
-80 -79 78 0
-20 9 -63 0
81 -83 -82 0
19 -18 -17 0
-41 -42 -43 0
-39 40 -38 0
8 9 10 0
17 19 -20 0
68 -69 70 0
-4 5 -6 0
36 35 -34 0
-99 -98 97 0
-71 73 -72 0
-79 -84 33 0
60 57 -59 0
-81 82 -83 0
13 11 12 0
-10 -9 -8 0
-49 90 -51 0
83 -81 -82 0
-94 96 -95 0
-73 71 72 0
-26 24 25 0
96 94 -95 0
8 -10 -9 0
81 82 83 0
40 -66 -25 0
-60 57 -58 0
-44 45 -46 0
-73 -72 -71 0
93 -92 -91 0
-100 98 99 0
24 26 25 0
-67 70 -69 0
-47 -48 -49 0
82 -21 43 0
47 -48 -49 0
25 24 -26 0
11 12 13 0
-42 41 43 0
84 -86 85 0
-11 -12 -13 0
-70 68 -67 0
-81 -40 -71 0
-42 -41 43 0
45 -46 44 0
-92 -91 93 0
-5 6 -4 0
10 -9 8 0
-11 -12 13 0
97 54 62 0
-80 -42 63 0
-58 59 57 0
-25 -96 49 0
-64 65 -66 0
-37 93 -16 0
47 45 3 0
72 71 -73 0
44 -46 -45 0
96 66 -72 0
8 -33 89 0
87 -89 -88 0
31 -32 33 0
40 73 77 0
-62 -97 10 0
2 3 -1 0
75 74 76 0
61 -62 63 0
77 -80 78 0
-36 -34 35 0
73 -72 71 0
-28 29 -30 0
10 8 9 0
-45 -58 -39 0
14 -15 -16 0
-55 -56 54 0
14 16 -15 0
-77 79 -80 0
51 52 53 0
-26 -25 -24 0
-39 37 40 0
97 -98 -99 0
63 62 61 0
22 -23 -21 0
28 -27 -29 0
-71 73 72 0
-59 60 57 0
34 35 36 0
-58 -57 -59 0
-69 70 -68 0
-35 34 -36 0
84 86 85 0
87 63 18 0
7 9 -10 0
-63 62 -61 0
-66 -64 -65 0
-13 -12 11 0
13 -11 12 0
-52 51 53 0
-99 97 100 0
91 -93 -92 0
-34 -35 36 0
-66 -65 64 0
48 76 79 0
10 -7 -8 0
-92 91 93 0
96 95 -94 0
-37 1 98 0
-79 78 77 0
-39 37 38 0
-12 -72 16 0
-85 84 86 0
-71 73 -72 0
-39 38 40 0
74 -76 75 0
56 -78 71 0
-86 -84 -85 0
-52 53 51 0
76 74 75 0
4 -5 -6 0
-18 -17 -20 0
44 -45 -46 0
-92 85 54 0
-78 -34 15 0
-12 11 -13 0
-56 55 -54 0
16 -14 -15 0
-20 22 -12 0
-29 -27 28 0
-23 -42 17 0
-70 69 67 0
-73 72 71 0
64 66 -65 0
83 46 -66 0
-99 98 -97 0
65 64 66 0
34 -35 36 0
49 -47 50 0
66 65 64 0
-82 -81 -83 0
33 -31 32 0
39 -40 38 0
-82 81 -83 0
-42 41 -43 0
44 -65 -87 0
91 -9 31 0
-62 63 -61 0
-95 63 25 0
26 25 24 0
-70 69 67 0
26 -25 24 0
-7 9 -8 0
-86 84 -85 0
-42 13 -77 0
-4 -6 -5 0
-2 3 -1 0
81 82 83 0
13 -11 -12 0
21 -23 -22 0
-15 -16 -14 0
-2 -3 1 0
-27 -59 -99 0
-11 13 12 0
-41 -43 -42 0
12 -89 -66 0
-6 14 37 0
55 54 -56 0
66 -64 -65 0
-65 64 -66 0
-43 41 -42 0
-6 -4 5 0
54 55 56 0
