n=50, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 3665, Time: 2.10 seconds
n=50, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 4143, Time: 1.70 seconds
n=50, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 4157, Time: 1.77 seconds
n=50, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 4614, Time: 1.58 seconds
n=50, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 5310, Time: 1.45 seconds
n=50, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 5163, Time: 1.68 seconds
n=50, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 5093, Time: 1.66 seconds
n=50, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 5978, Time: 1.63 seconds
n=50, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 6275, Time: 1.40 seconds
n=50, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 6580, Time: 1.50 seconds
n=50, m/n=4.5, WalkSAT Success: 100.0%, Total Flips: 6907, Time: 1.60 seconds
n=50, m/n=4.6, WalkSAT Success: 100.0%, Total Flips: 7110, Time: 1.44 seconds
n=50, m/n=4.7, WalkSAT Success: 100.0%, Total Flips: 7547, Time: 1.44 seconds
n=50, m/n=4.8, WalkSAT Success: 100.0%, Total Flips: 7848, Time: 1.48 seconds
n=50, m/n=4.9, WalkSAT Success: 100.0%, Total Flips: 7943, Time: 1.72 seconds
n=50, m/n=5.0, WalkSAT Success: 100.0%, Total Flips: 8687, Time: 2.05 seconds
n=50, m/n=5.1, WalkSAT Success: 100.0%, Total Flips: 8698, Time: 1.58 seconds
n=50, m/n=5.2, WalkSAT Success: 100.0%, Total Flips: 9186, Time: 1.58 seconds
n=50, m/n=5.3, WalkSAT Success: 100.0%, Total Flips: 9116, Time: 1.52 seconds
n=50, m/n=5.4, WalkSAT Success: 100.0%, Total Flips: 9954, Time: 1.61 seconds
n=100, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 7635, Time: 1.57 seconds
n=100, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 8572, Time: 1.59 seconds
n=100, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 9069, Time: 1.55 seconds
n=100, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 9531, Time: 1.56 seconds
n=100, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 10658, Time: 1.79 seconds
n=100, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 10632, Time: 1.67 seconds
n=100, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 11491, Time: 1.75 seconds
n=100, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 12628, Time: 1.76 seconds
n=100, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 12995, Time: 1.62 seconds
n=100, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 13450, Time: 1.93 seconds
n=100, m/n=4.5, WalkSAT Success: 100.0%, Total Flips: 14278, Time: 1.90 seconds
