n=1500, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 127715, Time: 53.59 seconds
n=1500, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 136001, Time: 133.94 seconds
n=1500, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 201918, Time: 305.63 seconds
n=1500, m/n=3.8, WalkSAT Success: 97.0%, Total Flips: 440097, Time: 219.79 seconds
n=1500, m/n=3.9, WalkSAT Success: 66.0%, Total Flips: 949594, Time: 449.38 seconds
n=1500, m/n=4.0, WalkSAT Success: 19.0%, Total Flips: 1366370, Time: 675.33 seconds
n=1500, m/n=4.1, WalkSAT Success: 1.0%, Total Flips: 1496920, Time: 773.81 seconds
n=1500, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 817.09 seconds
n=1500, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 873.37 seconds
n=1500, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 1500000, Time: 883.48 seconds
n=2000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 161728, Time: 106.39 seconds
n=2000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 184353, Time: 124.14 seconds
n=2000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 263809, Time: 184.62 seconds
n=2000, m/n=3.8, WalkSAT Success: 99.0%, Total Flips: 497583, Time: 351.79 seconds
n=2000, m/n=3.9, WalkSAT Success: 49.0%, Total Flips: 1531375, Time: 1074.72 seconds
n=2000, m/n=4.0, WalkSAT Success: 7.0%, Total Flips: 1931154, Time: 1404.28 seconds
n=2000, m/n=4.1, WalkSAT Success: 0.0%, Total Flips: 2000000, Time: 1398.26 seconds
n=2000, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 2000000, Time: 1418.75 seconds
n=2000, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 2000000, Time: 1450.13 seconds
n=2000, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 2000000, Time: 1580.89 seconds
n=2500, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 198252, Time: 160.57 seconds
n=2500, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 221268, Time: 186.31 seconds
n=2500, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 287175, Time: 248.11 seconds
n=2500, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 614968, Time: 529.92 seconds
n=2500, m/n=3.9, WalkSAT Success: 60.0%, Total Flips: 1701316, Time: 1653.61 seconds
n=2500, m/n=4.0, WalkSAT Success: 4.0%, Total Flips: 2461098, Time: 1933.68 seconds
n=2500, m/n=4.1, WalkSAT Success: 0.0%, Total Flips: 2500000, Time: 2115.98 seconds
n=2500, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 2500000, Time: 2240.93 seconds
n=2500, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 2500000
n=2500, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 2500000
n=5000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 390265, Time: 669.40 seconds
n=5000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 426689, Time: 773.24 seconds
n=5000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 518119, Time: 952.58 seconds
n=5000, m/n=3.8, WalkSAT Success: 99.0%, Total Flips: 1100901, Time: 2367.80 seconds
n=5000, m/n=3.9, WalkSAT Success: 42.0%, Total Flips: 3970913, Time: 6569.95 seconds
n=5000, m/n=4.0, WalkSAT Success: 0.0%, Total Flips: 5000000, Time: 8277.30 seconds
n=5000, m/n=4.1, WalkSAT Success: 0.0%, Total Flips: 5000000, Time: 8486.32 seconds
n=5000, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 5000000, Time: 8683.62 seconds
n=5000, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 5000000, Time: 8872.56 seconds
n=5000, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 5000000
n=10000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 640504, Time: 5494.58 seconds
n=10000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 710523, Time: 5334.79 seconds
n=10000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 774538, Time: 3415.55 seconds
n=10000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 858735, Time: 3836.06 seconds
n=10000, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 1025475, Time: 4166.34 seconds
n=10000, m/n=4.0, WalkSAT Success: 97.0%, Total Flips: 3314366, Time: 15236.03 seconds
n=10000, m/n=4.1, WalkSAT Success: 5.0%, Total Flips: 9758828, Time: 58208.95 seconds
n=10000, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 10000000, Time: 95027.62 seconds
n=10000, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 10000000, Time: 49046.81 seconds
n=10000, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 10000000, Time: 49046.81 seconds

tries=10, flips=n
n=50, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 3589, Time: 1.17 seconds
n=50, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 3992, Time: 1.13 seconds
n=50, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 4813, Time: 1.58 seconds
n=50, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 5561, Time: 1.46 seconds
n=50, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 6697, Time: 1.38 seconds
n=50, m/n=4.0, WalkSAT Success: 99.0%, Total Flips: 8948, Time: 1.58 seconds
n=50, m/n=4.1, WalkSAT Success: 98.0%, Total Flips: 10189, Time: 1.43 seconds
n=50, m/n=4.2, WalkSAT Success: 99.0%, Total Flips: 10755, Time: 1.52 seconds
n=50, m/n=4.3, WalkSAT Success: 96.0%, Total Flips: 12629, Time: 1.54 seconds
n=50, m/n=4.4, WalkSAT Success: 93.0%, Total Flips: 14777, Time: 1.63 seconds
n=50, m/n=4.5, WalkSAT Success: 83.0%, Total Flips: 20962, Time: 1.77 seconds
n=50, m/n=4.6, WalkSAT Success: 79.0%, Total Flips: 22591, Time: 2.03 seconds
