c=30 Q=0.8
n=100, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.49 seconds
n=100, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 16.30 seconds
n=100, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 17.05 seconds
n=100, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 99.5%, Time: 16.97 seconds
n=100, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 96.0%, Time: 17.18 seconds
n=100, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 93.0%, Time: 17.00 seconds
n=100, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 84.5%, Time: 16.77 seconds
n=100, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 67.5%, Time: 17.18 seconds
n=100, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 54.0%, Time: 18.68 seconds
n=100, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 36.5%, Time: 18.88 seconds
n=100, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 27.500000000000004%, Time: 19.57 seconds
n=100, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 12.5%, Time: 23.26 seconds
n=100, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 9.5%, Time: 21.95 seconds
n=100, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 6.0%, Time: 21.55 seconds
n=100, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 1.5%, Time: 21.56 seconds
n=100, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 20.35 seconds
n=100, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.5%, Time: 21.12 seconds
n=100, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 22.37 seconds
n=100, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 21.62 seconds
n=100, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 22.82 seconds
n=200, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 19.53 seconds
n=200, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 18.77 seconds
n=200, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 19.87 seconds
n=200, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 99.0%, Time: 20.02 seconds
n=200, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 95.0%, Time: 20.46 seconds
n=200, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 88.5%, Time: 21.41 seconds
n=200, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 65.0%, Time: 22.23 seconds
n=200, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 36.0%, Time: 23.74 seconds
n=200, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 15.5%, Time: 24.56 seconds
n=200, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 7.5%, Time: 24.50 seconds
n=200, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 2.0%, Time: 25.32 seconds
n=200, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 1.5%, Time: 26.64 seconds
n=200, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.5%, Time: 25.82 seconds
n=200, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 26.62 seconds
n=200, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 26.15 seconds
n=200, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 27.00 seconds
n=200, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 26.11 seconds
n=200, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 26.41 seconds
n=200, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 25.60 seconds
n=200, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 25.83 seconds
n=500, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 20.53 seconds
n=500, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 20.29 seconds
n=500, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 21.71 seconds
n=500, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 99.0%, Time: 25.02 seconds
n=500, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 86.5%, Time: 33.38 seconds
n=500, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 54.50000000000001%, Time: 45.22 seconds
n=500, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 16.0%, Time: 55.05 seconds
n=500, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 4.5%, Time: 56.60 seconds
n=500, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 0.5%, Time: 57.07 seconds
n=500, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 56.53 seconds
n=500, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 56.04 seconds
n=500, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 57.53 seconds
n=500, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 57.40 seconds
n=500, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 60.34 seconds
n=500, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 62.00 seconds
n=500, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 61.48 seconds
n=500, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 63.48 seconds
n=500, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 65.84 seconds
n=500, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 62.13 seconds
n=500, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 63.50 seconds
n=1000, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 24.14 seconds
n=1000, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 24.87 seconds
n=1000, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 28.05 seconds
n=1000, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 39.05 seconds
n=1000, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 68.5%, Time: 78.12 seconds
