
p=0.3
n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 70470, Time: 16.97 seconds
n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 81046, Time: 19.73 seconds
n=1000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 89172, Time: 22.25 seconds
n=1000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 102584, Time: 25.91 seconds
n=1000, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 165767, Time: 42.35 seconds
n=1000, m/n=4.0, WalkSAT Success: 97.0%, Total Flips: 292934, Time: 73.19 seconds
n=1000, m/n=4.1, WalkSAT Success: 68.0%, Total Flips: 634758, Time: 157.82 seconds
n=1000, m/n=4.2, WalkSAT Success: 21.0%, Total Flips: 881968, Time: 220.76 seconds
n=1000, m/n=4.3, WalkSAT Success: 5.0%, Total Flips: 979079, Time: 252.72 seconds
n=1000, m/n=4.4, WalkSAT Success: 1.0%, Total Flips: 992955, Time: 259.52 seconds

p=0.5
n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 84150, Time: 19.78 seconds
n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 91920, Time: 22.14 seconds
n=1000, m/n=3.7, WalkSAT Success: 100.0%, Total Flips: 125728, Time: 30.51 seconds
n=1000, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 202393, Time: 50.25 seconds
n=1000, m/n=3.9, WalkSAT Success: 85.0%, Total Flips: 485166, Time: 117.12 seconds
n=1000, m/n=4.0, WalkSAT Success: 21.0%, Total Flips: 895342, Time: 213.93 seconds
n=1000, m/n=4.1, WalkSAT Success: 8.0%, Total Flips: 957461, Time: 234.43 seconds
n=1000, m/n=4.2, WalkSAT Success: 2.0%, Total Flips: 989768, Time: 248.34 seconds
n=1000, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 1000000, Time: 264.28 seconds
n=1000, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 1000000, Time: 264.80 seconds

p=0.7
n=1000, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 97271, Time: 22.96 seconds
n=1000, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 144712, Time: 34.35 seconds
n=1000, m/n=3.7, WalkSAT Success: 99.0%, Total Flips: 250026, Time: 59.12 seconds
n=1000, m/n=3.8, WalkSAT Success: 68.0%, Total Flips: 625275, Time: 145.24 seconds
n=1000, m/n=3.9, WalkSAT Success: 24.0%, Total Flips: 886494, Time: 207.64 seconds
n=1000, m/n=4.0, WalkSAT Success: 1.0%, Total Flips: 995952, Time: 238.20 seconds
n=1000, m/n=4.1, WalkSAT Success: 0.0%, Total Flips: 1000000, Time: 245.58 seconds
n=1000, m/n=4.2, WalkSAT Success: 0.0%, Total Flips: 1000000, Time: 251.74 seconds
n=1000, m/n=4.3, WalkSAT Success: 0.0%, Total Flips: 1000000, Time: 257.72 seconds
n=1000, m/n=4.4, WalkSAT Success: 0.0%, Total Flips: 1000000, Time: 265.61 seconds
