n=50, m/n=3.5, GSAT Success: 100.0%, Total Flips: 3333, Time: 2.94 seconds
n=50, m/n=3.6, GSAT Success: 100.0%, Total Flips: 3383, Time: 2.73 seconds
n=50, m/n=3.7, GSAT Success: 100.0%, Total Flips: 3725, Time: 2.61 seconds
n=50, m/n=3.8, GSAT Success: 100.0%, Total Flips: 3543, Time: 2.95 seconds
n=50, m/n=3.9, GSAT Success: 100.0%, Total Flips: 2916, Time: 2.86 seconds
n=50, m/n=4.0, GSAT Success: 100.0%, Total Flips: 3778, Time: 2.52 seconds
n=50, m/n=4.1, GSAT Success: 100.0%, Total Flips: 4030, Time: 2.68 seconds
n=50, m/n=4.2, GSAT Success: 100.0%, Total Flips: 4256, Time: 2.53 seconds
n=50, m/n=4.3, GSAT Success: 100.0%, Total Flips: 3866, Time: 2.55 seconds
n=50, m/n=4.4, GSAT Success: 100.0%, Total Flips: 3642, Time: 2.70 seconds
n=50, m/n=4.5, GSAT Success: 100.0%, Total Flips: 5135, Time: 3.07 seconds
n=50, m/n=4.6, GSAT Success: 100.0%, Total Flips: 3779, Time: 2.84 seconds
n=50, m/n=4.7, GSAT Success: 100.0%, Total Flips: 6509, Time: 3.43 seconds
n=50, m/n=4.8, GSAT Success: 100.0%, Total Flips: 5229, Time: 3.10 seconds
n=50, m/n=4.9, GSAT Success: 100.0%, Total Flips: 4478, Time: 3.16 seconds
n=50, m/n=5.0, GSAT Success: 100.0%, Total Flips: 6560, Time: 3.68 seconds
n=50, m/n=5.1, GSAT Success: 100.0%, Total Flips: 4971, Time: 3.34 seconds
n=50, m/n=5.2, GSAT Success: 100.0%, Total Flips: 4592, Time: 3.37 seconds
n=50, m/n=5.3, GSAT Success: 100.0%, Total Flips: 4063, Time: 2.94 seconds
n=50, m/n=5.4, GSAT Success: 100.0%, Total Flips: 4553, Time: 3.28 seconds
n=100, m/n=3.5, GSAT Success: 96.0%, Total Flips: 20187, Time: 8.17 seconds
n=100, m/n=3.6, GSAT Success: 96.0%, Total Flips: 19849, Time: 9.39 seconds
n=100, m/n=3.7, GSAT Success: 97.0%, Total Flips: 17308, Time: 8.71 seconds
n=100, m/n=3.8, GSAT Success: 97.0%, Total Flips: 15809, Time: 8.84 seconds
n=100, m/n=3.9, GSAT Success: 97.0%, Total Flips: 15457, Time: 8.74 seconds
n=100, m/n=4.0, GSAT Success: 95.0%, Total Flips: 20440, Time: 8.69 seconds
n=100, m/n=4.1, GSAT Success: 97.0%, Total Flips: 18152, Time: 9.02 seconds
n=100, m/n=4.2, GSAT Success: 97.0%, Total Flips: 15935, Time: 9.24 seconds
n=100, m/n=4.3, GSAT Success: 94.0%, Total Flips: 28916, Time: 11.33 seconds
n=100, m/n=4.4, GSAT Success: 91.0%, Total Flips: 31919, Time: 10.91 seconds
n=100, m/n=4.5, GSAT Success: 91.0%, Total Flips: 32685, Time: 11.48 seconds
n=100, m/n=4.6, GSAT Success: 94.0%, Total Flips: 26931, Time: 12.83 seconds
n=100, m/n=4.7, GSAT Success: 96.0%, Total Flips: 23897, Time: 12.71 seconds
n=100, m/n=4.8, GSAT Success: 95.0%, Total Flips: 23708, Time: 12.63 seconds
n=100, m/n=4.9, GSAT Success: 90.0%, Total Flips: 33818, Time: 13.84 seconds
n=100, m/n=5.0, GSAT Success: 91.0%, Total Flips: 33666, Time: 14.08 seconds
n=100, m/n=5.1, GSAT Success: 91.0%, Total Flips: 36201, Time: 15.59 seconds
n=100, m/n=5.2, GSAT Success: 93.0%, Total Flips: 30106, Time: 13.49 seconds
n=100, m/n=5.3, GSAT Success: 91.0%, Total Flips: 31804, Time: 13.43 seconds
n=100, m/n=5.4, GSAT Success: 89.0%, Total Flips: 40913, Time: 24.77 seconds
n=250, m/n=3.5, GSAT Success: 60.0%, Total Flips: 107244, Time: 45.91 seconds
n=250, m/n=3.6, GSAT Success: 53.0%, Total Flips: 124934, Time: 47.97 seconds
n=250, m/n=3.7, GSAT Success: 56.0%, Total Flips: 120086, Time: 52.67 seconds
n=250, m/n=3.8, GSAT Success: 49.0%, Total Flips: 135110, Time: 53.74 seconds
n=250, m/n=3.9, GSAT Success: 54.0%, Total Flips: 124874, Time: 51.55 seconds
n=250, m/n=4.0, GSAT Success: 51.0%, Total Flips: 129001, Time: 59.21 seconds
n=250, m/n=4.1, GSAT Success: 60.0%, Total Flips: 107685, Time: 52.69 seconds
n=250, m/n=4.2, GSAT Success: 48.0%, Total Flips: 137447, Time: 61.66 seconds
n=250, m/n=4.3, GSAT Success: 52.0%, Total Flips: 127172, Time: 60.58 seconds
n=250, m/n=4.4, GSAT Success: 45.0%, Total Flips: 147748, Time: 65.02 seconds
n=250, m/n=4.5, GSAT Success: 48.0%, Total Flips: 137070, Time: 61.44 seconds
n=250, m/n=4.6, GSAT Success: 46.0%, Total Flips: 144421, Time: 65.47 seconds
n=250, m/n=4.7, GSAT Success: 58.0%, Total Flips: 112958, Time: 61.57 seconds
n=250, m/n=4.8, GSAT Success: 53.0%, Total Flips: 125636, Time: 65.64 seconds
n=250, m/n=4.9, GSAT Success: 49.0%, Total Flips: 134453, Time: 67.80 seconds
n=250, m/n=5.0, GSAT Success: 52.0%, Total Flips: 127653, Time: 71.31 seconds
