Configuration,n,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",50,42.733333333333334,100.0,0.0,10341.2,4.166666666666667,3.7
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",100,34.03333333333333,100.0,0.0,22808.833333333332,5.59,3.5
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",250,26.5,100.0,0.0,61071.566666666666,9.115666666666668,3.3
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",500,22.833333333333332,100.0,0.0,125979.73333333334,26.204,3.2
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",1000,21.3,100.0,0.0,255059.16666666666,97.24466666666666,3.1
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",50,41.63333333333333,99.0,0.0,10427.366666666667,4.180333333333333,3.7
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",100,33.53333333333333,100.0,0.0,22777.733333333334,3.3449999999999998,3.5
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",250,26.366666666666667,100.0,0.0,61170.4,9.270333333333333,3.3
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",500,22.6,100.0,0.0,125880.56666666667,28.144666666666662,3.2
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",1000,20.8,100.0,0.0,256049.7,101.59333333333333,3.1
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",50,35.56666666666667,97.0,0.0,10867.333333333334,4.1196666666666655,3.6
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",100,30.7,98.0,0.0,23322.2,5.648333333333332,3.4
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",250,26.033333333333335,100.0,0.0,61353.76666666667,9.478000000000002,3.3
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",500,23.0,100.0,0.0,125943.36666666667,27.374333333333333,3.2
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",1000,20.833333333333332,100.0,0.0,255688.4,102.15466666666666,3.1
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",100,32.166666666666664,100.0,0.0,23103.0,3.6550000000000002,3.4
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",250,26.233333333333334,100.0,0.0,61227.6,8.978,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",500,23.5,100.0,0.0,125450.46666666666,25.311,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",1000,20.433333333333334,100.0,0.0,255981.66666666666,100.703,3.1
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",100,32.7,99.0,0.0,23019.0,3.8220000000000005,3.4
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",250,26.8,100.0,0.0,61042.73333333333,9.336000000000002,3.3
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",500,22.633333333333333,100.0,0.0,126130.06666666667,27.743666666666666,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",1000,20.666666666666668,100.0,0.0,255847.36666666667,102.31799999999998,3.1
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",100,26.166666666666668,92.0,0.0,24083.433333333334,3.8179999999999996,3.3
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",250,24.3,99.0,0.0,62209.63333333333,9.645666666666667,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",500,22.366666666666667,100.0,0.0,126589.66666666667,28.243666666666666,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",1000,20.4,100.0,0.0,256878.7,93.91499999999999,3.1
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",100,32.733333333333334,100.0,0.0,22994.633333333335,6.276333333333333,3.5
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",250,26.1,100.0,0.0,61140.0,9.029666666666666,3.3
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",500,22.966666666666665,100.0,0.0,126045.9,25.418,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",1000,20.6,100.0,0.0,255684.23333333334,100.172,3.1
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",100,29.6,98.0,0.0,23571.533333333333,6.541666666666666,3.3
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",250,26.3,100.0,0.0,61298.2,9.274666666666667,3.3
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",500,22.633333333333333,100.0,0.0,126147.9,27.371000000000002,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",1000,20.533333333333335,100.0,0.0,256414.36666666667,102.49666666666667,3.1
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",100,15.4,68.0,0.0,26303.566666666666,4.176666666666667,2.9
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",250,22.766666666666666,97.0,0.0,62866.333333333336,9.783666666666667,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",500,22.166666666666668,100.0,0.0,126962.9,27.892333333333333,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",1000,20.766666666666666,100.0,0.0,256309.36666666667,25.642999999999997,3.1
