Configuration,n,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",50,55.8,100.0,0.0,71772.8,8.735333333333331,4.2
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",100,49.56666666666667,100.0,0.0,161354.03333333333,20.576,4.0
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",250,44.43333333333333,100.0,0.0,440312.0,85.79500000000002,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",500,42.86666666666667,100.0,0.0,904390.3666666667,113.38100000000001,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",1000,41.333333333333336,100.0,0.0,1852028.6,499.6703333333333,3.7
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",50,52.6,100.0,1.0,75706.63333333333,9.017666666666667,4.1
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",100,48.2,100.0,0.0,164672.16666666666,21.481999999999996,4.0
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",250,45.56666666666667,100.0,0.0,431571.2,30.055666666666664,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",500,43.166666666666664,100.0,0.0,899032.3666666667,111.992,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",1000,42.4,100.0,0.0,1824101.5,470.992,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",50,36.266666666666666,95.0,0.0,97389.2,10.264333333333333,3.6
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",100,39.0,99.0,0.0,188735.23333333334,23.407333333333334,3.6
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",250,42.06666666666667,100.0,0.0,455178.93333333335,34.095666666666666,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",500,42.53333333333333,100.0,0.0,906454.7333333333,112.95333333333333,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",1000,42.0,100.0,0.0,1830393.0333333334,471.069,3.7
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",100,49.766666666666666,100.0,0.0,161564.23333333334,20.645,3.9
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",250,44.63333333333333,100.0,0.0,439607.3,86.99733333333333,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",500,42.6,100.0,0.0,907374.4333333333,114.93833333333332,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",1000,41.7,100.0,0.0,1843266.6,492.60833333333335,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",100,45.233333333333334,100.0,0.0,172719.16666666666,20.38266666666667,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",250,44.4,100.0,0.0,440094.56666666665,33.18866666666666,3.9
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",500,43.2,100.0,0.0,898886.0666666667,102.212,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",1000,41.766666666666666,100.0,0.0,1838961.8666666667,487.6766666666666,3.7
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",100,28.5,92.0,0.0,217743.46666666667,24.635666666666665,3.4
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",250,35.46666666666667,100.0,0.0,498936.1,42.07033333333334,3.7
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",500,40.56666666666667,100.0,0.0,932015.0666666667,120.94900000000001,3.7
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",1000,41.56666666666667,100.0,0.0,1842047.9333333333,511.2083333333333,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",100,47.8,100.0,0.0,167030.7,20.738333333333333,3.9
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",250,45.5,100.0,0.0,434563.23333333334,85.29966666666665,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",500,42.56666666666667,100.0,0.0,907729.1333333333,114.69333333333334,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",1000,41.233333333333334,100.0,0.0,1853289.9666666666,499.6026666666666,3.7
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",100,39.93333333333333,97.0,0.0,187254.93333333332,23.578666666666667,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",250,43.36666666666667,100.0,0.0,448851.4,32.958,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",500,42.3,100.0,0.0,910899.0,109.56633333333333,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",1000,41.833333333333336,100.0,0.0,1836718.0333333334,481.258,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",100,16.9,72.0,0.0,250611.0,16.590333333333334,3.0
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",250,28.166666666666668,98.0,0.0,548520.4666666667,49.15833333333333,3.3
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",500,35.93333333333333,100.0,0.0,993073.4666666667,142.69066666666666,3.6
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",1000,40.266666666666666,100.0,0.0,1877171.8666666667,534.2643333333333,3.7
