Configuration,n,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=10",50,62.2,100.0,1.0,64301.23333333333,7.993333333333333,4.3
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=10",100,56.166666666666664,100.0,0.0,148235.3,17.297666666666665,4.2
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=10",250,51.1,100.0,0.0,408616.0333333333,64.72200000000001,4.0
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=10",500,47.1,100.0,0.0,866921.3666666667,80.24166666666666,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=10",1000,44.733333333333334,100.0,0.0,1788996.5333333334,358.638,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=20",100,55.7,100.0,0.0,148557.76666666666,17.23366666666667,4.2
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=20",250,50.766666666666666,100.0,0.0,410588.9666666667,65.05533333333334,4.0
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=20",500,47.7,100.0,0.0,857793.2666666667,77.17866666666666,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=20",1000,45.266666666666666,100.0,0.0,1782652.8,364.813,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=30",100,54.13333333333333,100.0,0.0,153292.16666666666,17.701999999999998,4.1
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=30",250,50.5,100.0,0.0,412741.7,65.352,4.0
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=30",500,47.333333333333336,100.0,0.0,861968.2333333333,78.13466666666666,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=30",1000,45.1,100.0,0.0,1787045.5666666667,348.1836666666667,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=10",50,55.733333333333334,100.0,0.0,72667.13333333333,8.479666666666667,4.2
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=10",100,54.233333333333334,100.0,0.0,152316.3,17.337666666666667,4.1
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=10",250,50.7,100.0,0.0,410503.3,65.06499999999998,4.0
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=10",500,47.63333333333333,100.0,0.0,860851.7,78.39,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=10",1000,45.13333333333333,100.0,0.0,1782770.5333333334,353.62,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=20",100,48.733333333333334,100.0,0.0,165393.53333333333,18.36866666666667,4.0
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=20",250,49.43333333333333,100.0,0.0,417508.1666666667,65.644,4.0
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=20",500,47.3,100.0,0.0,866778.8666666667,79.935,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=20",1000,44.7,100.0,0.0,1794622.9666666666,367.76,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=30",100,41.93333333333333,98.0,0.0,183541.23333333334,20.06566666666667,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=30",250,47.36666666666667,100.0,0.0,429547.0333333333,67.76533333333333,4.0
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=30",500,46.4,100.0,0.0,878956.0,82.50933333333333,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=30",1000,44.833333333333336,100.0,0.0,1793750.7333333334,358.805,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=10",50,37.766666666666666,95.0,0.0,95450.0,9.856,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=10",100,40.5,98.0,0.0,184866.0,19.841333333333335,3.7
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=10",250,44.766666666666666,100.0,0.0,442953.8,68.929,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=10",500,45.96666666666667,100.0,0.0,879499.7,82.35466666666666,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=10",1000,45.06666666666667,100.0,0.0,1787224.3,361.51466666666664,3.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=20",100,29.566666666666666,90.0,0.0,214760.73333333334,22.531333333333336,3.5
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=20",250,36.3,100.0,0.0,496345.06666666665,78.81999999999998,3.7
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=20",500,42.766666666666666,100.0,0.0,914905.3666666667,93.32566666666666,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=20",1000,44.266666666666666,100.0,0.0,1802562.2333333334,358.5196666666667,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=30",100,16.6,74.0,0.0,251446.63333333333,26.029,2.9
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=30",250,28.333333333333332,95.0,0.0,548502.8333333334,82.79766666666666,3.4
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=30",500,38.733333333333334,100.0,0.0,966184.8666666667,106.545,3.7
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=30",1000,42.43333333333333,100.0,0.0,1846211.4,397.8403333333334,3.8
