Configuration,n,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=1",50,27.933333333333334,89.0,0.0,4284.133333333333,3.9033333333333338,3.3
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=1",100,22.5,88.0,0.0,9027.166666666666,2.9716666666666667,3.2
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=1",250,19.5,98.0,0.0,23084.133333333335,4.6530000000000005,3.1
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=1",500,18.266666666666666,100.0,0.0,46780.333333333336,9.974666666666668,3.0
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=1",1000,17.366666666666667,100.0,0.0,93927.13333333333,12.201666666666664,3.0
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=10",50,38.5,96.0,0.0,32632.1,5.629,3.6
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=10",100,39.8,100.0,0.0,65860.36666666667,9.605666666666668,3.8
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=10",250,42.36666666666667,100.0,0.0,163701.8,13.064333333333334,3.8
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=10",500,42.9,100.0,0.0,329464.93333333335,38.657000000000004,3.8
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=10",1000,42.0,100.0,0.0,671532.9333333333,166.93833333333333,3.8
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=20",50,37.5,93.0,0.0,64511.3,7.457666666666666,3.6
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=20",100,39.166666666666664,98.0,0.0,128053.43333333333,15.12,3.6
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=20",250,44.266666666666666,100.0,0.0,305340.0,48.56633333333333,3.9
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=20",500,46.166666666666664,100.0,0.0,604476.2,60.16066666666667,3.9
"p=0.5, Q=0.8, c=10, max_tries=1, flips_coef=20",1000,45.5,100.0,0.0,1226027.1333333333,256.04200000000003,3.9
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=1",50,33.8,94.0,0.0,11046.233333333334,4.173000000000001,3.5
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=1",100,29.9,98.0,0.0,23490.933333333334,5.8790000000000004,3.4
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=1",250,26.8,100.0,0.0,61073.23333333333,7.460666666666667,3.3
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=1",500,23.133333333333333,100.0,0.0,125789.33333333333,20.276,3.2
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=1",1000,20.6,100.0,0.0,256377.13333333333,77.75066666666665,3.1
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=10",50,38.5,97.0,1.0,94277.83333333333,9.300666666666668,3.6
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=10",100,41.56666666666667,99.0,0.0,182275.9,20.000999999999994,3.7
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=10",250,44.7,100.0,0.0,443449.6,69.782,3.9
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=10",500,45.53333333333333,100.0,0.0,881367.5333333333,84.16433333333335,3.9
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=10",1000,44.4,100.0,0.0,1797622.1333333333,364.46733333333333,3.8
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=20",50,40.13333333333333,96.0,0.0,182080.1,14.562999999999997,3.7
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=20",100,39.9,98.0,0.0,368393.3,36.14666666666666,3.7
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=20",250,46.0,100.0,0.0,844720.7333333333,127.14166666666667,3.9
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=20",500,48.96666666666667,100.0,0.0,1629939.3,127.02933333333334,4.0
"p=0.5, Q=0.8, c=10, max_tries=3, flips_coef=20",1000,47.93333333333333,100.0,0.0,3336146.566666667,559.7713333333334,3.9
"p=0.5, Q=0.8, c=10, max_tries=10, flips_coef=1",50,37.166666666666664,96.0,0.0,33048.13333333333,5.556,3.7
