n=100, m=100, GSAT Success: 30.0%, WalkSAT Success: 0.0%, Time: 1.53 seconds
n=100, m=150, GSAT Success: 5.0%, WalkSAT Success: 0.0%, Time: 1.93 seconds
n=100, m=200, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.11 seconds
n=100, m=250, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.32 seconds
n=100, m=300, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.46 seconds
n=100, m=350, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.60 seconds
n=100, m=360, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.59 seconds
n=100, m=370, GSAT Success: 5.0%, WalkSAT Success: 0.0%, Time: 2.57 seconds
n=100, m=380, GSAT Success: 5.0%, WalkSAT Success: 0.0%, Time: 2.67 seconds
n=100, m=390, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.73 seconds
n=100, m=400, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.74 seconds
n=100, m=409, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.78 seconds
n=100, m=420, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.91 seconds
n=100, m=430, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 2.82 seconds
