n=100, m=100, GSAT Success: 100.0%, WalkSAT Success: 0.0%, Time: 6.26 seconds
n=100, m=150, GSAT Success: 100.0%, WalkSAT Success: 0.0%, Time: 8.53 seconds
n=100, m=200, GSAT Success: 100.0%, WalkSAT Success: 0.0%, Time: 11.68 seconds
n=100, m=250, GSAT Success: 100.0%, WalkSAT Success: 0.0%, Time: 15.85 seconds
n=100, m=300, GSAT Success: 100.0%, WalkSAT Success: 0.0%, Time: 18.73 seconds
n=100, m=350, GSAT Success: 100.0%, WalkSAT Success: 0.0%, Time: 25.68 seconds
n=100, m=360, GSAT Success: 100.0%, WalkSAT Success: 0.0%, Time: 26.96 seconds
n=100, m=370, GSAT Success: 97.0%, WalkSAT Success: 0.0%, Time: 28.12 seconds
n=100, m=380, GSAT Success: 98.0%, WalkSAT Success: 0.0%, Time: 31.36 seconds
n=100, m=390, GSAT Success: 98.0%, WalkSAT Success: 0.0%, Time: 34.26 seconds
n=100, m=400, GSAT Success: 99.0%, WalkSAT Success: 0.0%, Time: 36.35 seconds
n=100, m=409, GSAT Success: 95.0%, WalkSAT Success: 0.0%, Time: 35.35 seconds
n=100, m=420, GSAT Success: 94.0%, WalkSAT Success: 0.0%, Time: 41.83 seconds
n=100, m=430, GSAT Success: 96.0%, WalkSAT Success: 0.0%, Time: 46.47 seconds
n=100, m=440, GSAT Success: 92.0%, WalkSAT Success: 0.0%, Time: 40.92 seconds
n=100, m=450, GSAT Success: 96.0%, WalkSAT Success: 0.0%, Time: 35.86 seconds
n=100, m=500, GSAT Success: 95.0%, WalkSAT Success: 0.0%, Time: 51.73 seconds
