n=2000, m=2000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 21.77 seconds
n=2000, m=3000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 38.37 seconds
n=2000, m=4000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 67.01 seconds
n=2000, m=5000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 90.49 seconds
n=2000, m=6000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 133.52 seconds
n=2000, m=7000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 162.15 seconds
n=2000, m=7200, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 166.06 seconds
n=2000, m=7400, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 181.64 seconds
n=2000, m=7600, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 182.64 seconds
n=2000, m=7800, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 191.75 seconds
n=2000, m=8000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 191.91 seconds
n=2000, m=8200, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 205.31 seconds
n=2000, m=8400, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 201.54 seconds
n=2000, m=8600, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 222.36 seconds
n=2000, m=8800, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 239.21 seconds
n=2000, m=9000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 256.94 seconds
n=2000, m=10000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 288.43 seconds
