n=600, m/n=3.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 31.42 seconds
n=600, m/n=3.75, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 31.58 seconds
n=600, m/n=3.8, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 32.49 seconds
n=600, m/n=3.85, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 32.50 seconds
n=600, m/n=3.8983333333333334, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 32.92 seconds
n=600, m/n=3.9483333333333333, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 32.90 seconds
n=600, m/n=3.9983333333333335, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 33.81 seconds
n=600, m/n=4.048333333333333, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 33.92 seconds
n=600, m/n=4.098333333333334, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 33.96 seconds
n=600, m/n=4.148333333333333, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 34.55 seconds
n=600, m/n=4.198333333333333, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 35.10 seconds
n=600, m/n=4.248333333333333, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 35.00 seconds
n=600, m/n=4.298333333333333, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 35.19 seconds
n=600, m/n=4.348333333333334, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 35.57 seconds
n=600, m/n=4.398333333333333, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 36.11 seconds
