Resultados ordenados - 2025-06-29 06:34:31
================================================================================

#################### n = 100 ####################

#################### Max Flips = 100.0 ####################
    c=20, Q=0.8, p=0.5, n=100, m/n=2.5, max_tries=3, max_flips=100, Success Rate: 93.0%, Total Flips: 6224, Time: 4.46 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=2.6, max_tries=3, max_flips=100, Success Rate: 85.0%, Total Flips: 8926, Time: 4.57 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=2.7, max_tries=3, max_flips=100, Success Rate: 84.0%, Total Flips: 9613, Time: 4.72 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=2.8, max_tries=3, max_flips=100, Success Rate: 74.0%, Total Flips: 12353, Time: 4.81 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=2.9, max_tries=3, max_flips=100, Success Rate: 76.0%, Total Flips: 12180, Time: 4.89 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.0, max_tries=3, max_flips=100, Success Rate: 62.0%, Total Flips: 16552, Time: 5.06 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.1, max_tries=3, max_flips=100, Success Rate: 65.0%, Total Flips: 16336, Time: 5.01 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.2, max_tries=3, max_flips=100, Success Rate: 54.0%, Total Flips: 18226, Time: 5.16 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.3, max_tries=3, max_flips=100, Success Rate: 42.0%, Total Flips: 21021, Time: 5.35 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.4, max_tries=3, max_flips=100, Success Rate: 40.0%, Total Flips: 21944, Time: 5.37 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.5, max_tries=3, max_flips=100, Success Rate: 25.0%, Total Flips: 25326, Time: 5.41 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.6, max_tries=3, max_flips=100, Success Rate: 16.0%, Total Flips: 27024, Time: 5.59 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.7, max_tries=3, max_flips=100, Success Rate: 13.0%, Total Flips: 27103, Time: 5.62 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.8, max_tries=3, max_flips=100, Success Rate: 9.0%, Total Flips: 28652, Time: 5.69 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.9, max_tries=3, max_flips=100, Success Rate: 12.0%, Total Flips: 28077, Time: 5.73 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.0, max_tries=3, max_flips=100, Success Rate: 5.0%, Total Flips: 29299, Time: 5.75 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.1, max_tries=3, max_flips=100, Success Rate: 5.0%, Total Flips: 29497, Time: 5.88 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.2, max_tries=3, max_flips=100, Success Rate: 2.0%, Total Flips: 29681, Time: 5.86 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.3, max_tries=3, max_flips=100, Success Rate: 1.0%, Total Flips: 29884, Time: 5.99 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.4, max_tries=3, max_flips=100, Success Rate: 0.0%, Total Flips: 30000, Time: 6.06 seconds
