Resultados ordenados - 2025-06-28 13:39:47
================================================================================

#################### n = 50 ####################

#################### c = 10 ####################

#################### Q = 0.2 ####################

#################### Max Flips = 50.0 ####################
    c=10, Q=0.2, p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=50, Success Rate: 100.0%, Total Flips: 2255, Time: 3.81 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=50, Success Rate: 100.0%, Total Flips: 2252, Time: 3.70 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=50, Success Rate: 100.0%, Total Flips: 2470, Time: 3.86 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=50, Success Rate: 99.0%, Total Flips: 2909, Time: 3.87 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=50, Success Rate: 99.0%, Total Flips: 3182, Time: 3.86 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=50, Success Rate: 94.0%, Total Flips: 4457, Time: 3.91 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=50, Success Rate: 94.0%, Total Flips: 4490, Time: 3.92 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.2, max_tries=3, max_flips=50, Success Rate: 87.0%, Total Flips: 5946, Time: 3.99 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.3, max_tries=3, max_flips=50, Success Rate: 85.0%, Total Flips: 6064, Time: 3.95 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=50, Success Rate: 81.0%, Total Flips: 6639, Time: 3.95 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=50, Success Rate: 65.0%, Total Flips: 8599, Time: 3.95 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=50, Success Rate: 55.0%, Total Flips: 10150, Time: 4.05 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=50, Success Rate: 45.0%, Total Flips: 10602, Time: 4.01 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=50, Success Rate: 44.0%, Total Flips: 10964, Time: 4.09 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=50, Success Rate: 33.0%, Total Flips: 11738, Time: 4.10 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=50, Success Rate: 25.0%, Total Flips: 13017, Time: 4.13 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.1, max_tries=3, max_flips=50, Success Rate: 24.0%, Total Flips: 13431, Time: 4.19 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.2, max_tries=3, max_flips=50, Success Rate: 10.0%, Total Flips: 14119, Time: 4.28 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.3, max_tries=3, max_flips=50, Success Rate: 12.0%, Total Flips: 14142, Time: 4.23 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.4, max_tries=3, max_flips=50, Success Rate: 8.0%, Total Flips: 14447, Time: 4.29 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.5, max_tries=3, max_flips=50, Success Rate: 7.0%, Total Flips: 14693, Time: 4.39 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.6, max_tries=3, max_flips=50, Success Rate: 5.0%, Total Flips: 14595, Time: 4.44 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.7, max_tries=3, max_flips=50, Success Rate: 7.0%, Total Flips: 14390, Time: 4.39 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.8, max_tries=3, max_flips=50, Success Rate: 1.0%, Total Flips: 14877, Time: 4.41 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.9, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 4.47 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.0, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 4.56 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.1, max_tries=3, max_flips=50, Success Rate: 1.0%, Total Flips: 14926, Time: 4.53 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.2, max_tries=3, max_flips=50, Success Rate: 1.0%, Total Flips: 14882, Time: 4.58 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.3, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 4.54 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.4, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 4.55 seconds

#################### Q = 0.5 ####################

#################### Max Flips = 50.0 ####################
    c=10, Q=0.5, p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=50, Success Rate: 99.0%, Total Flips: 2158, Time: 3.74 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=50, Success Rate: 98.0%, Total Flips: 3116, Time: 3.88 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=50, Success Rate: 97.0%, Total Flips: 3104, Time: 3.83 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=50, Success Rate: 98.0%, Total Flips: 3277, Time: 3.91 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=50, Success Rate: 99.0%, Total Flips: 3342, Time: 3.97 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=50, Success Rate: 91.0%, Total Flips: 4488, Time: 4.00 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=50, Success Rate: 87.0%, Total Flips: 5107, Time: 4.00 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.2, max_tries=3, max_flips=50, Success Rate: 85.0%, Total Flips: 6049, Time: 4.04 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.3, max_tries=3, max_flips=50, Success Rate: 83.0%, Total Flips: 6678, Time: 4.05 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=50, Success Rate: 72.0%, Total Flips: 7532, Time: 4.13 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=50, Success Rate: 60.0%, Total Flips: 8978, Time: 3.92 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=50, Success Rate: 63.0%, Total Flips: 8607, Time: 4.01 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=50, Success Rate: 38.0%, Total Flips: 11164, Time: 4.04 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=50, Success Rate: 38.0%, Total Flips: 11728, Time: 4.13 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=50, Success Rate: 41.0%, Total Flips: 11395, Time: 4.08 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=50, Success Rate: 24.0%, Total Flips: 12934, Time: 4.14 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.1, max_tries=3, max_flips=50, Success Rate: 21.0%, Total Flips: 12967, Time: 4.22 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.2, max_tries=3, max_flips=50, Success Rate: 19.0%, Total Flips: 13198, Time: 4.21 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.3, max_tries=3, max_flips=50, Success Rate: 12.0%, Total Flips: 13992, Time: 4.29 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.4, max_tries=3, max_flips=50, Success Rate: 7.0%, Total Flips: 14324, Time: 4.34 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.5, max_tries=3, max_flips=50, Success Rate: 6.0%, Total Flips: 14506, Time: 4.34 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.6, max_tries=3, max_flips=50, Success Rate: 3.0%, Total Flips: 14782, Time: 4.36 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.7, max_tries=3, max_flips=50, Success Rate: 4.0%, Total Flips: 14688, Time: 4.39 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.8, max_tries=3, max_flips=50, Success Rate: 2.0%, Total Flips: 14831, Time: 4.44 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.9, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 4.45 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.0, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 4.44 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.1, max_tries=3, max_flips=50, Success Rate: 1.0%, Total Flips: 14894, Time: 4.46 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.2, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 4.49 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.3, max_tries=3, max_flips=50, Success Rate: 0.0%, Total Flips: 15000, Time: 4.51 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.4, max_tries=3, max_flips=50, Success Rate: 1.0%, Total Flips: 14982, Time: 4.60 seconds

#################### Q = 0.8 ####################

#################### Max Flips = 50.0 ####################
    c=10, Q=0.8, p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=50, Success Rate: 97.0%, Total Flips: 2285, Time: 3.65 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=50, Success Rate: 94.0%, Total Flips: 2832, Time: 3.62 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=50, Success Rate: 91.0%, Total Flips: 3520, Time: 3.74 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=50, Success Rate: 85.0%, Total Flips: 4596, Time: 3.77 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=50, Success Rate: 85.0%, Total Flips: 4753, Time: 3.78 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=50, Success Rate: 82.0%, Total Flips: 5395, Time: 3.81 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=50, Success Rate: 73.0%, Total Flips: 6405, Time: 3.90 seconds
