Resultados ordenados - 2025-06-20 08:26:37
================================================================================

#################### n = 50 ####################

#################### Max Tries = 1 ####################

#################### Max Flips = 50.0 ####################
    c=10, Q=0.8, p=0.5, n=50, m/n=2.5, max_tries=1, max_flips=50, Success Rate: 89.0%, Total Flips: 2123, Time: 3.82 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.6, max_tries=1, max_flips=50, Success Rate: 86.0%, Total Flips: 2282, Time: 3.75 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.7, max_tries=1, max_flips=50, Success Rate: 80.0%, Total Flips: 2595, Time: 3.85 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.8, max_tries=1, max_flips=50, Success Rate: 75.0%, Total Flips: 2953, Time: 3.92 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.9, max_tries=1, max_flips=50, Success Rate: 71.0%, Total Flips: 3046, Time: 3.82 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.0, max_tries=1, max_flips=50, Success Rate: 70.0%, Total Flips: 3046, Time: 3.83 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.1, max_tries=1, max_flips=50, Success Rate: 69.0%, Total Flips: 3482, Time: 3.84 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.2, max_tries=1, max_flips=50, Success Rate: 50.0%, Total Flips: 3833, Time: 3.76 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.3, max_tries=1, max_flips=50, Success Rate: 48.0%, Total Flips: 4002, Time: 3.86 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.4, max_tries=1, max_flips=50, Success Rate: 37.0%, Total Flips: 4149, Time: 3.79 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.5, max_tries=1, max_flips=50, Success Rate: 35.0%, Total Flips: 4367, Time: 3.81 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.6, max_tries=1, max_flips=50, Success Rate: 28.0%, Total Flips: 4405, Time: 3.77 seconds
