Resultados ordenados - 2025-06-28 10:45:25
================================================================================

#################### n = 50 ####################

#################### c = 10 ####################

#################### Q = 0.2 ####################

#################### Max Flips = 500 ####################
    c=10, Q=0.2, p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 2396, Time: 6.29 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 2966, Time: 6.40 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 3016, Time: 6.02 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 4461, Time: 6.25 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 4836, Time: 6.16 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 6064, Time: 6.43 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 7846, Time: 6.96 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.2, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 8094, Time: 7.11 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.3, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 8288, Time: 7.01 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 10165, Time: 7.08 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 13456, Time: 8.40 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=500, Success Rate: 96.0%, Total Flips: 19267, Time: 9.74 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=500, Success Rate: 93.0%, Total Flips: 26540, Time: 10.80 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=500, Success Rate: 94.0%, Total Flips: 27436, Time: 10.84 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=500, Success Rate: 85.0%, Total Flips: 42025, Time: 13.45 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=500, Success Rate: 76.0%, Total Flips: 54233, Time: 16.76 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.1, max_tries=3, max_flips=500, Success Rate: 65.0%, Total Flips: 68406, Time: 10.97 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.2, max_tries=3, max_flips=500, Success Rate: 55.0%, Total Flips: 83759, Time: 13.09 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.3, max_tries=3, max_flips=500, Success Rate: 51.0%, Total Flips: 87732, Time: 14.37 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.4, max_tries=3, max_flips=500, Success Rate: 37.0%, Total Flips: 105098, Time: 14.24 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.5, max_tries=3, max_flips=500, Success Rate: 27.0%, Total Flips: 119408, Time: 17.21 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.6, max_tries=3, max_flips=500, Success Rate: 23.0%, Total Flips: 122374, Time: 16.24 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.7, max_tries=3, max_flips=500, Success Rate: 21.0%, Total Flips: 123602, Time: 16.79 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.8, max_tries=3, max_flips=500, Success Rate: 12.0%, Total Flips: 136111, Time: 18.51 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=4.9, max_tries=3, max_flips=500, Success Rate: 10.0%, Total Flips: 137949, Time: 17.74 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.0, max_tries=3, max_flips=500, Success Rate: 6.0%, Total Flips: 142575, Time: 19.11 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.1, max_tries=3, max_flips=500, Success Rate: 1.0%, Total Flips: 148848, Time: 18.44 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.2, max_tries=3, max_flips=500, Success Rate: 2.0%, Total Flips: 147600, Time: 20.99 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.3, max_tries=3, max_flips=500, Success Rate: 1.0%, Total Flips: 148558, Time: 22.22 seconds
    c=10, Q=0.2, p=0.5, n=50, m/n=5.4, max_tries=3, max_flips=500, Success Rate: 2.0%, Total Flips: 147798, Time: 24.78 seconds

#################### Q = 0.5 ####################

#################### Max Flips = 500 ####################
    c=10, Q=0.5, p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 2822, Time: 7.01 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 2684, Time: 6.98 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=500, Success Rate: 100.0%, Total Flips: 3428, Time: 6.29 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=500, Success Rate: 99.0%, Total Flips: 5025, Time: 12.93 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=500, Success Rate: 99.0%, Total Flips: 6398, Time: 7.94 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=500, Success Rate: 99.0%, Total Flips: 6008, Time: 6.75 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=500, Success Rate: 98.0%, Total Flips: 8837, Time: 13.39 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.2, max_tries=3, max_flips=500, Success Rate: 97.0%, Total Flips: 11593, Time: 19.59 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.3, max_tries=3, max_flips=500, Success Rate: 94.0%, Total Flips: 17578, Time: 14.53 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=500, Success Rate: 97.0%, Total Flips: 15768, Time: 14.51 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=500, Success Rate: 92.0%, Total Flips: 24052, Time: 14.72 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=500, Success Rate: 89.0%, Total Flips: 29492, Time: 18.83 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=500, Success Rate: 79.0%, Total Flips: 43312, Time: 19.54 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=500, Success Rate: 72.0%, Total Flips: 51971, Time: 20.05 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=500, Success Rate: 66.0%, Total Flips: 66587, Time: 17.03 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=500, Success Rate: 53.0%, Total Flips: 80152, Time: 18.59 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.1, max_tries=3, max_flips=500, Success Rate: 51.0%, Total Flips: 85298, Time: 12.62 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.2, max_tries=3, max_flips=500, Success Rate: 48.0%, Total Flips: 87480, Time: 13.05 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.3, max_tries=3, max_flips=500, Success Rate: 33.0%, Total Flips: 108611, Time: 15.06 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.4, max_tries=3, max_flips=500, Success Rate: 30.0%, Total Flips: 111541, Time: 14.96 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.5, max_tries=3, max_flips=500, Success Rate: 22.0%, Total Flips: 121239, Time: 16.46 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.6, max_tries=3, max_flips=500, Success Rate: 15.0%, Total Flips: 131106, Time: 16.62 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.7, max_tries=3, max_flips=500, Success Rate: 9.0%, Total Flips: 138354, Time: 17.19 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.8, max_tries=3, max_flips=500, Success Rate: 8.0%, Total Flips: 140675, Time: 17.34 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.9, max_tries=3, max_flips=500, Success Rate: 5.0%, Total Flips: 143520, Time: 18.20 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.0, max_tries=3, max_flips=500, Success Rate: 2.0%, Total Flips: 148090, Time: 18.03 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.1, max_tries=3, max_flips=500, Success Rate: 0.0%, Total Flips: 150000, Time: 15.34 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.2, max_tries=3, max_flips=500, Success Rate: 4.0%, Total Flips: 145906, Time: 15.98 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.3, max_tries=3, max_flips=500, Success Rate: 2.0%, Total Flips: 147722, Time: 15.66 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.4, max_tries=3, max_flips=500, Success Rate: 1.0%, Total Flips: 148566, Time: 16.11 seconds

#################### Q = 0.8 ####################

#################### Max Flips = 500 ####################
    c=10, Q=0.8, p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=500, Success Rate: 95.0%, Total Flips: 9782, Time: 5.34 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=500, Success Rate: 90.0%, Total Flips: 17208, Time: 5.95 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=500, Success Rate: 92.0%, Total Flips: 14576, Time: 5.63 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=500, Success Rate: 91.0%, Total Flips: 16393, Time: 5.89 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=500, Success Rate: 80.0%, Total Flips: 32588, Time: 6.74 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=500, Success Rate: 78.0%, Total Flips: 35647, Time: 7.21 seconds
