n=1000, m=1500, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 96.42 seconds
n=1000, m=1600, GSAT Success: 0.0%, WalkSAT Success: 96.0%, Time: 166.48 seconds
n=1000, m=1700, GSAT Success: 0.0%, WalkSAT Success: 68.5%, Time: 304.45 seconds
n=1000, m=1800, GSAT Success: 0.0%, WalkSAT Success: 17.5%, Time: 453.93 seconds
n=1000, m=1900, GSAT Success: 0.0%, WalkSAT Success: 4.0%, Time: 516.50 seconds
n=1000, m=2000, GSAT Success: 0.0%, WalkSAT Success: 1.0%, Time: 536.64 seconds
n=1000, m=2100, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 565.71 seconds
n=1000, m=2200, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 597.52 seconds
n=1000, m=2300, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 615.78 seconds
n=1000, m=2400, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 645.41 seconds
n=1000, m=2500, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 673.82 seconds
n=1000, m=2600, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 692.65 seconds
n=1000, m=2700, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 719.65 seconds
n=1000, m=2800, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 758.15 seconds
n=1000, m=2900, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 783.50 seconds
n=1000, m=3000, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 807.23 seconds
n=1000, m=3100, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 837.31 seconds
n=1000, m=3200, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 864.23 seconds
n=1000, m=3300, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 883.54 seconds
n=1000, m=3400, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 912.16 seconds
n=1000, m=3500, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 939.44 seconds
n=1000, m=3600, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 961.45 seconds
n=1000, m=3700, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 990.59 seconds
n=1000, m=3800, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 1017.57 seconds
n=1000, m=3900, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 1039.46 seconds
