n=1000, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 93.52 seconds
n=1000, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 97.5%, Time: 160.19 seconds
n=1000, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 68.0%, Time: 314.57 seconds
n=1000, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 23.5%, Time: 454.67 seconds
n=1000, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 10.0%, Time: 503.25 seconds
n=1000, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 1.5%, Time: 548.28 seconds
n=1000, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 575.00 seconds
n=1000, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 600.91 seconds
n=1000, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 628.02 seconds
n=1000, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 652.60 seconds
n=1000, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 678.67 seconds
n=1000, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 704.83 seconds
n=1000, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 731.22 seconds
n=1000, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 765.24 seconds
n=1000, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 790.44 seconds
n=1000, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 817.23 seconds
n=1000, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 849.06 seconds
n=1000, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 880.48 seconds
n=1000, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 908.79 seconds
n=1000, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 927.94 seconds
n=1000, m/n=3.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 947.98 seconds
n=1000, m/n=3.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 975.87 seconds
n=1000, m/n=3.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 1003.82 seconds
n=1000, m/n=3.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 1048.09 seconds
n=1000, m/n=3.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 1072.46 seconds
