Resultados ordenados - 2025-06-15 13:17:56
================================================================================

#################### n = 50 ####################

#################### Max Tries = 1 ####################

#################### Max Flips = 50 ####################
    p=0.5, n=50, m/n=2.5, max_tries=1, max_flips=50, Success Rate: 89.0%, Total Flips: 2255, Time: 2.44 seconds
    p=0.5, n=50, m/n=2.6, max_tries=1, max_flips=50, Success Rate: 89.0%, Total Flips: 2519, Time: 2.52 seconds
    p=0.5, n=50, m/n=2.7, max_tries=1, max_flips=50, Success Rate: 86.0%, Total Flips: 2544, Time: 2.57 seconds
    p=0.5, n=50, m/n=2.8, max_tries=1, max_flips=50, Success Rate: 86.0%, Total Flips: 2678, Time: 2.56 seconds
    p=0.5, n=50, m/n=2.9, max_tries=1, max_flips=50, Success Rate: 72.0%, Total Flips: 3215, Time: 2.61 seconds
    p=0.5, n=50, m/n=3.0, max_tries=1, max_flips=50, Success Rate: 74.0%, Total Flips: 3307, Time: 2.60 seconds
    p=0.5, n=50, m/n=3.1, max_tries=1, max_flips=50, Success Rate: 58.0%, Total Flips: 3717, Time: 2.59 seconds
    p=0.5, n=50, m/n=3.2, max_tries=1, max_flips=50, Success Rate: 54.0%, Total Flips: 3675, Time: 2.63 seconds
    p=0.5, n=50, m/n=3.3, max_tries=1, max_flips=50, Success Rate: 55.0%, Total Flips: 4009, Time: 2.61 seconds
    p=0.5, n=50, m/n=3.4, max_tries=1, max_flips=50, Success Rate: 45.0%, Total Flips: 4117, Time: 2.68 seconds
    p=0.5, n=50, m/n=3.5, max_tries=1, max_flips=50, Success Rate: 33.0%, Total Flips: 4287, Time: 2.06 seconds
    p=0.5, n=50, m/n=3.6, max_tries=1, max_flips=50, Success Rate: 27.0%, Total Flips: 4565, Time: 2.11 seconds
    p=0.5, n=50, m/n=3.7, max_tries=1, max_flips=50, Success Rate: 23.0%, Total Flips: 4593, Time: 2.11 seconds
    p=0.5, n=50, m/n=3.8, max_tries=1, max_flips=50, Success Rate: 20.0%, Total Flips: 4627, Time: 2.10 seconds
    p=0.5, n=50, m/n=3.9, max_tries=1, max_flips=50, Success Rate: 14.0%, Total Flips: 4734, Time: 2.09 seconds
    p=0.5, n=50, m/n=4.0, max_tries=1, max_flips=50, Success Rate: 16.0%, Total Flips: 4721, Time: 2.14 seconds
